"","AshFDwPM","AshOnly","DWpM","WWP","PDW"
"SL18-LD-10-FG1xSL18-OI-18-MG1",0.00863040186822647,-0.319430962382628,-0.0219535131214656,-0.156693567675891,0.254324008649962
"SL18-NL-6-FG1xSA18-CB-3-MG3",0.0548507721174587,0.807504267425248,0.148561440097171,0.601808930615239,-0.394058667486084
"SL18-NL-6-FG1xSA18-CB-7-MG2",0.138902801648107,0.780179649925405,0.195380467577229,0.63501903878965,-0.201718259749907
"SL18-NL-6-FG1xSL18-LD-1-MG2",0.0263974968937933,0.330369996629457,0.0254114903268789,0.114554783212299,-0.0578137026836766
"SL18-NL-6-FG1xSL18-LD-2-MG1",0.0064202631198735,0.371747579983911,0.0554728989862909,0.187085325017332,0.0941190874227418
"SL18-NL-6-FG1xSL18-LD-3-MG2",-0.0093489212961487,0.697989358131156,0.0592017713566512,0.284676485801926,-0.122413207361942
"SL18-NL-6-FG1xSL18-NL-2-MG1",-0.110783680621181,0.439410631082199,0.01397064317107,0.167267620870285,-0.196004579864597
"SL18-OI-11-FG3xSL18-CC-1-MG3",0.0967094400759216,0.822723971228325,0.182771468054138,0.57936985750899,-0.0776313897938059
"SL18-JS-16-FG3xSL18-NC-10-MG3",-0.132870505879432,0.338381306460849,-0.153499072435331,-0.29970609508558,-0.474515330418059
"SL18-OI-5-FG5xSA18-CB-7-MG3",0.0989741143742624,-1.18696293071423,0.0390795490576722,-0.041644325618327,0.234009573554577
"SL18-CC-1-FG2xSL18-OI-16-MG1",-0.0748691763914459,0.343885892828162,-0.0732255909183052,-0.103538178644202,0.0861603269690382
"SL18-NC-11-FG1xSL18-NL-2-MG1",-0.208572237928446,0.0623608788552662,-0.124518287923163,-0.311746117111178,-0.0279901966357057
"SL18-CC-5-FG2xSA18-CB-10-MG1",0.235390338014601,-0.0764798295970783,0.194831569793863,0.508883643401493,-0.113615811675314
"SL18-CC-5-FG3xSL18-OI-14-MG1",0.0632143566923879,0.424706290521606,0.109047543737792,0.379225238740918,-0.184917646480967
"SL18-CC-11-FG3xSL18-CC-3-MG1",0.0351918818976214,0.449988127875588,0.158296838652428,0.43828008822488,-0.105315738825787
"SL18-CC-11-FG3xSA18-CB-3-MG3",0.0924067520821513,0.794513045846066,0.233466006991271,0.768730675603051,-0.342016763551258
"SL18-JS-16-FG1xSL18-CC-4-MG11",-0.101828635989269,0.087447609869125,-0.0854581033579205,-0.223488081407291,-0.0666926965274091
"SL18-CC-11-FG3xSL18-JS-16-MG1",-0.0233846762073672,0.511645729010027,0.129518601171071,0.49867296452105,-0.186582087543485
"SL18-NC-12-FG2xSA18-CB-4-MG3",-0.0342966378270561,0.409289270542897,-0.0631962208355604,-0.0500999972786562,-0.189068791615493
"SL18-OD-5-FG1xSL18-CC-8-MG2",-0.118816039573883,-0.831873555514634,-0.102649446346905,-0.299312830326332,-0.151071366707467
"SL18-CC-1-FG3xSL18-OI-9-MG2",-0.0251929122704928,-0.012823974955521,-0.0510264411959443,-0.202356223137158,0.140649573394582
"SA18-CB-9-FG1xSL18-JS-5-MG3",0.00975396850187346,-0.100028912857488,0.0971395081081387,0.286964740390897,-0.126486518454276
"SL18-CC-5-FG1xSL18-JS-9-MG1",-0.0159348477970388,0.370344735795504,-0.0554377056179368,-0.149617917693288,-0.212935449571705
"SL18-CC-12-FG3xSL18-OI-15-MG2",0.149662940907346,0.0460528131159006,0.174078407031692,0.546881392201676,0.0907386267688206
"SL18-SF-17-FG2xSL18-NC-1-MG1",0.091569544513492,-0.140210643640114,0.00545743614689028,0.0961662489472574,-0.0907774259082024
"SL18-JS-5-FG1xSL18-LD-2-MG4",-0.0682570203431578,0.277368371811517,-0.101918405734428,-0.274724772538684,-0.0848339197384536
"SL18-OD-5-FG3xSA18-CB-1-MG12",-0.0855703704696696,-0.89556089018012,-0.0507953457917455,-0.188640781172685,-0.0447116640898561
"SL18-CC-5-FG3xSL18-JS-5-MG2",-0.0316149006754009,0.728154525931657,0.00644752754488826,0.28262219315932,-0.551416440019473
"SL18-SF-13-FG1xSA18-CB-7-MG1",0.0630824789580573,-0.535890558258705,0.0512323931885941,0.135534683626536,0.218037823556953
"SL18-LL-9-FG6xSA18-CB-10-MG3",0.203552108179109,-0.0137822290843349,0.017890323032465,-0.113994322841347,-0.0713842373530825
"SL18-OI-15-FG2xSA18-CB-2-MG3",0.0375986182139796,-0.499128815388628,0.08998902497742,0.292693579168116,0.119540676428999
"SA18-CB-2-FG3xSL18-NC-9-MG1",-0.0198397280291632,0.385321523929648,0.0440348259712018,0.221842183586415,0.079774711201276
"SA18-CB-5-FG4xSL18-CC-1-MG3",-0.0138542300350391,0.285820084159818,0.0713300255792663,0.209340714378413,0.0777616364697947
"SL18-CC-3-FG1xSL18-JS-6-MG3",0.124622311658822,0.0531220513948337,0.21220277059706,0.541663869961196,0.416250275079587
"SL18-JS-16-FG1xSL18-LD-2-MG2",-0.0115089906306845,0.0887699465223531,-0.0285833662323704,-0.136854021715707,0.333949154387226
"SL18-NC-10-FG1xSL18-NC-5-MG1",-0.0595740811433758,0.0391765129290624,-0.18949737582474,-0.684477191126115,-0.375593635707544
"SL18-OI-17-FG4xSL18-JS-6-MG2",0.218959897174434,0.088285116139049,0.226952049767832,0.563980090706825,0.274394593901703
"SL18-CC-1-FG2xSL18-OI-16-MG3",-0.131859513526811,0.724922558272899,-0.104659524887373,-0.307630418654315,0.130876585031174
"SA18-CB-2-FG3xSL18-OI-2-MG2",0.0109797942802181,0.0984725537521768,0.023499704631569,0.159500461719914,0.130147572653668
"SL18-CC-5-FG3xSL18-JS-19-MG2",0.0492534861583135,0.572345606449154,-0.0259217249186674,0.136740769496604,-0.278929591561247
"SL18-CC-3-FG2xSA18-CB-10-MG3",0.324210242362817,0.156283876524765,0.212277847490793,0.457308378511081,0.0594034410965442
"SL18-CC-1-FG1xSL18-OI-16-MG3",-0.0831113720365927,0.933616658703187,-0.0611661448194925,-0.126593770172763,0.160443872841292
"SL18-JS-16-FG3xSL18-OD-6-MG2",-0.12306053379278,0.277166439694052,-0.0711972557474327,-0.134455651050956,-0.0492779807790631
"SL18-OI-4-FG2xSL18-NC-15-MG1",0.00324234393238949,0.804586300658147,0.109546811448491,0.311560585288599,0.151854104866867
"SL18-NC-12-FG2xSL18-OI-16-MG1",-0.0410614149701798,-0.216606642229503,-0.107379725718835,-0.15786043789295,0.0364841289921983
"SL18-CC-8-FG2xSL18-JS-5-MG3",-0.0439534920981907,-0.0914594587926537,0.0310817024289795,0.138332363475564,-0.271141668232802
"SL18-OI-4-FG2xSL18-JS-19-MG2",0.0978116113732292,0.496730160174701,0.0224095866792455,0.0629683497261091,0.179725418378902
"SL18-OI-6-FG2xSA18-CB-4-MG2",0.281674796023883,-0.772588433253311,0.293266171254432,0.662666789859036,0.282511044484202
"SL18-CC-3-FG1xSL18-JS-5-MG2",-0.105997685599439,0.20913668895341,-0.00302891408718218,0.0999747597545017,-0.254196066753994
"SL18-CC-3-FG2xSL18-OD-6-MG1",0.113455055505782,0.295476817485008,0.158137791170425,0.436343360572536,0.102181429335417
"SL18-LD-13-FG2xSA18-CB-7-MG1",0.00881690355957456,-0.50191043119188,0.0149777076156467,0.0791759543980993,0.0899364779201525
"SL18-OI-6-FG2xSL18-LD-2-MG2",0.242304987741154,-0.717410810836629,0.25213198361158,0.554046370520272,0.702730210369262
"SL18-CC-12-FG3xSL18-OI-15-MG3",0.120195380586598,0.0889770376312234,0.090394069483926,0.336440428478642,0.093185944573111
"SL18-CC-11-FG3xSL18-NC-2-MG3",0.0888036444428949,0.914827220774536,0.233200285326302,0.801322606146038,-0.247332039800601
"SL18-CC-12-FG2xSL18-OI-15-MG2",0.218714354942921,0.361831063389519,0.294542783722618,0.93066401535725,0.0292389886505464
"SL18-SF-17-FG2xSA18-CB-1-MG13",0.15515867923956,-0.38969329188026,0.108143071110678,0.380827191486291,-0.00283947766071548
"SL18-SF-17-FG2xSL18-OI-4-MG3",0.174857428952784,-0.169725136328136,0.0032333612808129,0.10855791314808,0.114102998066256
"SL18-NC-10-FG3xSL18-NL-5-MG2",-0.0754631469815077,0.124469839946486,-0.122601318968333,-0.375821355994323,-0.591369122812141
"SL18-CC-8-FG2xSL18-LD-9-MG1",0.00528436111918564,-0.119334914889107,0.0377693157166153,0.107631767510681,0.0230249005242926
"SL18-NL-3-FG3xSL18-NC-9-MG2",-0.0142197069477994,0.582381209795726,0.00518396658925396,0.144149181375161,-0.00819408868724355
"SL18-OI-6-FG3xSL18-CC-11-MG5",0.166252653484457,-0.391348029542084,0.244686940729293,0.697339684172423,0.495422296576684
"SL18-CC-8-FG1xSL18-OI-7-MG1",-0.117933554693184,-0.61680363098892,-0.0840334429715562,-0.168689788697606,-0.185163985509183
"SL18-JS-5-FG1xSL18-OI-14-MG1",-0.0815977491410317,0.17531669705809,-0.0671128792411709,-0.216402615259242,-0.250148205781225
"SL18-NC-10-FG1xSL18-OI-11-MG4",-0.0503279530418385,-0.228668350149132,-0.106566462886686,-0.295257691044784,-0.133071328128927
"SL18-SF-17-FG2xSA18-CB-7-MG2",0.26312245407384,0.152785154924358,0.187425209717568,0.56077015835009,-0.0395653245862538
"SL18-CC-9-FG3xSL18-JS-9-MG3",-0.175254665593476,0.332919577182043,-0.113208482310908,-0.343921874187785,-0.100129583338968
"SL18-CC-5-FG2xSL18-NC-10-MG2",0.119417390868342,0.339092648110845,0.00491528037108604,0.128662990538081,-0.345241886092905
"SL18-OI-11-FG3xSL18-NC-2-MG1",0.151200601020684,0.907647008629283,0.208565965378162,0.672005151973023,-0.150339710294283
"SL18-NC-9-FG2xSL18-JS-11-MG3",-0.0107674238583444,0.0125655967918947,-0.0753156714687211,-0.213000142921563,-0.0579446100642581
"SL18-LD-9-FG4xSL18-OI-6-MG2",0.0822122757804433,-1.04823088102934,0.0880372265416773,0.26955978336215,0.361694803136531
"SL18-CC-3-FG2xSL18-OI-11-MG3",0.163489589410309,0.134782287116022,0.0554024869372066,0.154798103555524,0.113090393533868
"SL18-OI-9-FG4xSA18-CB-1-MG12",-0.0895142314770453,-1.40318797635177,0.0109338821855495,-0.0210515597142647,0.110592392168806
"SL18-CC-3-FG2xSA18-CB-4-MG2",0.216283757286814,0.145928150060099,0.169665897117508,0.362392804588041,0.0090941484831385
"SL18-NC-5-FG2xSL18-JS-11-MG3",-0.0106067303121918,-0.0722801183115819,-0.153138339894267,-0.560000476583801,-0.301358421601755
"SL18-CC-8-FG1xSL18-OI-18-MG3",-0.115138218478218,-0.752325696905752,-0.1382476258245,-0.342982866403314,0.0778086272762716
"SL18-CC-6-FG3xSL18-JS-9-MG2",-0.123908016985353,0.285062171836991,-0.185028279585226,-0.41401263130686,-0.131010420835541
"SL18-NL-7-FG4xSA18-CB-1-MG12",-0.0865632526985095,-0.624298493286817,-0.0633922793019073,-0.313643529785825,-0.000321973510017226
"SL18-CC-1-FG1xSL18-NC-15-MG3",-0.0534169765129961,1.080931329615,0.0420369478881395,0.251368162153581,0.0148660864862994
"SL18-CC-1-FG1xSL18-CC-4-MG11",-0.0546782334571924,0.741369864193786,-0.0162299808508709,0.0431224067538935,0.0115652600258526
"SL18-CC-5-FG2xSL18-NC-9-MG2",0.14013996839276,0.500187766026434,0.0741086210600592,0.308094149352489,0.014135948232938
"SA18-CB-9-FG1xSL18-JS-19-MG1",0.0730649126801716,0.251594086781276,0.108632885847655,0.354557661414721,0.0630507083338599
"SL18-NL-3-FG1xSL18-OD-3-MG1",-0.0415985636424385,0.363815242033673,-0.115207123057388,-0.291460208444183,-0.104532953599845
"SL18-CC-5-FG3xSA18-CB-1-MG12",-0.00502213519785895,-0.237742399692172,0.0542144879730008,0.272342396654609,-0.255675224835074
"SL18-CC-8-FG2xSL18-NC-5-MG3",-0.014950755374273,-0.03069879574292,-0.0742686276748535,-0.272406237380922,-0.277013146267015
"SL18-CC-6-FG3xSL18-OI-14-MG2",-0.0400978738197622,0.20349705823456,-0.0358295164790256,-0.0543790365837637,0.0618591978066942
"SL18-NC-12-FG2xSA18-CB-3-MG1",-0.010950342988771,-0.0624871556334007,-0.00610652100070622,0.0233149178881409,-0.0499835247249602
"SL18-CC-3-FG3xSL18-OD-6-MG3",0.00408061936514313,0.110629063526007,0.120982711920902,0.379860259654794,0.107649459902442
"SL18-CC-6-FG2xSL18-OI-14-MG1",-0.00786927876634792,0.179785268433416,0.0428793478018569,0.160945060663946,-0.0841592578299411
"SL18-JS-19-FG3xSA18-CB-3-MG2",0.0231468337831855,0.272197093999694,-0.0840965550342222,-0.282979867205324,-0.365870393122804
"SL18-NC-12-FG2xSL18-NL-5-MG2",-0.0521618944449403,0.0542196696502908,-0.0749431428944099,-0.241488379249027,-0.084438671302818
"SL18-JS-5-FG1xSA18-CB-1-MG12",-0.149834306182391,-0.487131844889636,-0.121945801313039,-0.323284877220601,-0.320905803168338
"SL18-JS-16-FG3xSA18-CB-4-MG3",-0.111151719078339,0.66159391489809,-0.0861295285959285,-0.118817193330073,-0.276188858013752
"SL18-OI-4-FG2xSA18-CB-7-MG2",0.24584082844607,0.690815834753315,0.239757285812315,0.561957881885424,0.21845246477237
"SL18-NC-1-FG1xSL18-NC-12-MG3",-0.110704025972832,-0.234865914969449,-0.122983352993505,-0.340859588252728,-0.0872273614052268
"SL18-NC-15-FG3xSL18-CC-1-MG2",-0.118438654584797,0.833950854857305,-0.0723762978389302,-0.20303416094173,-0.0799563526107071
"SL18-SF-17-FG2xSL18-NC-12-MG1",0.0868764303543135,-0.222311305471068,0.0327379028438364,0.210566450417797,-0.0549591089216361
"SL18-LL-9-FG2xSA18-CB-5-MG3",-0.129708955516702,-0.834417201948152,-0.0995989164857151,-0.415236535839616,-0.0397442907348831
"SL18-SF-17-FG2xSA18-CB-7-MG3",0.261662673973929,-0.58894612592323,0.197287320940421,0.589974905711649,0.0346069390167958
"SA18-CB-4-FG6xSL18-JS-6-MG3",0.200499457938182,0.501847104120141,0.229668944940991,0.616768444456585,0.249134414849963
"SL18-CC-3-FG1xSL18-JS-11-MG2",-0.0904889731002974,-0.495121242956111,-0.0473665109139077,-0.19699107419637,-0.0782806057453729
"SA18-CB-5-FG6xSL18-CC-6-MG2",-0.0343542134608887,0.0737250826538087,0.03445382041644,0.199343704720601,0.0120234888587304
"SL18-JS-19-FG3xSL18-OI-17-MG1",0.0333855929559559,0.101052868314407,-0.0826534792641718,-0.226700884349089,-0.064232251888041
"SL18-OI-17-FG4xSL18-CC-7-MG1",0.10589855088175,0.498754310636199,0.151380522052958,0.505297574159316,-0.178740269406111
"SL18-OI-17-FG1xSL18-OI-4-MG1",0.0763372312709088,-0.0582050567066229,-0.0316529560727224,-0.108507378559613,0.160025966163844
"SL18-CC-6-FG2xSL18-OI-11-MG4",-0.0119914413662411,-0.0962240615041662,-0.0140940372834795,0.104326750004561,-0.0227359390803648
"SL18-JS-9-FG3xSA18-CB-10-MG1",-0.0603305132672077,-0.455343601475256,-0.0157807568240049,-0.108604131083857,-0.185317023536346
"SL18-OI-6-FG3xSL18-JS-6-MG1",0.189540065867056,-0.581916441133469,0.193864261444765,0.274900942363352,1.40148013303626
"SL18-SF-13-FG2xSL18-JS-11-MG3",0.059249022542579,-0.0106293071915666,0.101797260027483,0.359650619999508,-0.205723566287738
"SL18-JS-19-FG3xSL18-LD-13-MG3",-0.0536882011840975,-0.0909966329475928,-0.0900552958645352,-0.238176497849711,-0.00683484225446421
"SA18-CB-2-FG3xSL18-CC-2-MG5",0.0234696891349452,0.321533025206327,0.15480155229498,0.51916636990001,-0.190825201774666
"SA18-CB-9-FG1xSL18-OI-7-MG3",0.0982294552130078,-0.212480508330201,0.198528481583351,0.609655787620773,-0.016533471493722
"SL18-CC-3-FG1xSL18-OI-16-MG2",-0.0308152413530324,-0.11438135227205,0.0212294082468317,0.0429212933464758,0.194288805461586
"SL18-CC-8-FG1xSL18-NC-8-MG2",-0.266473446487746,-0.775168646845291,-0.213567154700442,-0.604701697841161,-0.10777710543128
"SL18-SF-13-FG2xSA18-CB-2-MG3",0.0555129071279164,-0.138706906742536,0.168712121761398,0.542740812538507,-0.016334671672752
