"","AshFDwPM","AshOnly","dryWgtPerM","C:N ratio","wetWgtPlot","percDryWgt","plotDensity"
"h2hMat",0.290741793048774,0.118121891731923,0.460803275863889,0.0652086884234264,0.519161794796609,0.0595429962485136,0.266867721447222
"Vus",0.017939175531335,2.22944783786035,0.0211196758242587,0.569964477358301,0.191486188221125,0.428881333384718,5395.26397076557
"ErrVars",0.0437622239930382,16.644681294105,8.17065722718039,0.0247126281771933,0.177351022336989,6.77400331143066,14821.7332048655
