"","AshFDwPM","AshOnly","dryWgtPerM","C:N ratio","wetWgtPlot","percDryWgt","plotDensity"
"h2hMat",0.0971225359730817,0.268034340707375,0.45387661939424,0.00000000200003363564077,0.516912185179243,0.0348766421300009,0.374752749628774
"Vus",0.000410868277716423,4.8184788398171,0.0039358351096092,0.00000000445180725586199,0.0947953170920219,0.190365343020234,10368.0975957641
"ErrVars",0.00381954306399627,13.1586162857573,2.22586618926134,0.00473576184302103,0.0885923448938354,5.26788210840174,17298.404133802
