"","AshFDwPM","AshOnly","dryWgtPerM","C:N ratio","wetWgtPlot","percDryWgt","plotDensity"
"h2hMat",0.441162662682425,0.2245164463959,0.622752425979397,0.125360841798719,0.677272760923286,0.114581778947751,0.412432139586779
"Vus",0.0347432874125992,4.77556529101222,0.0411373845663062,1.16858512998612,0.374802850809075,0.875098884110734,10455.1686096694
"ErrVars",0.0440106288897183,16.4948822315325,8.15318643136328,0.0249199808491875,0.178597304097685,6.76223134541713,14894.8650228806
