"","AshFDwPM","AshOnly","DWpM","WWP","PDW"
"SL18-OI-4",-0.0206057195973266,-0.490868052826317,0.000410997228904082,-0.000550784777914928,0.103280962054047
"SL18-OI-5",0.000332948945552023,-0.0662886773547487,-0.00103126123866369,-0.00903363414617026,0.113354002932639
"SL18-OI-6",0.0187032150647517,0.288423693672716,0.000656126457280209,0.00247160355297296,-0.0556710461765403
"SL18-OI-11",0.00639976488633507,-0.128531819040092,-0.00137394726107871,-0.0187111936167944,0.125912861801086
"SL18-OI-15",-0.0501902612803056,-0.467218020772204,-0.0017387245241388,-0.02212215856821,0.72807450630278
"SL18-OI-16",0.0278248617110265,-0.233120023140364,0.00024694208728371,-0.00499888967160788,0.0350472228449353
"SL18-OI-17",0.0061042603187848,-0.000121572105531014,0.000241990832923382,-0.00264692212858012,0.240621792593195
"SL18-OI-18",0.00826580826795822,-0.0148144010339536,0.000115642694676753,-0.00180209850398021,-0.086125347909125
"SL18-LD-1",-0.0240876208177896,-0.41938172530833,-0.000749477090961145,-0.00650582288849588,0.0740917551272255
"SL18-LD-3",-0.0146608587975419,-0.125253058076216,-0.000121639676763109,-0.000880486485667058,0.424820397463791
"SL18-LD-4",0.0385614837789698,0.181624655075569,0.000511553089708649,-8.17413315020484e-05,0.263447666027049
"SL18-LD-5",-0.0162040453388776,0.256692891630144,-0.000717433390733018,-0.00591882168823714,0.0541242693104462
"SL18-LD-9",-0.0167973232452352,0.30428486613618,-0.000988528059939853,-0.00770715612449043,0.0376438677538495
"SL18-LD-10",-0.00722472349158453,-0.0553448132976642,-0.000626083838681222,-0.00524374827628366,0.162664577279777
"SL18-LD-13",-0.00969831617157938,0.112372216123137,-0.00102427388651728,-0.0091775460064427,0.158213138909308
"SL18-CC-1",0.00991420229659912,-0.172956127683831,0.000568325929191087,0.00333434364183604,0.130126636829909
"SL18-CC-2",0.0160606362781985,-0.184509423829925,0.000912340938185576,0.00601170184577683,0.129474159901376
"SL18-CC-3",0.0088819473325751,-0.159600443561653,0.000714456362913294,0.00566817433064918,0.0969598686768158
"SL18-CC-4",0.0211578600323856,0.116241528470625,0.000220127429117754,-0.000669697860921862,-0.0550979615686947
"SL18-CC-5",-0.00900322009649921,0.00679827270837474,-0.000428655598845756,-0.00442890215524786,0.268727821474448
