"","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.256987390249432,0.025101560939601,0.292892910691637,0.136077862251334,0.370431795957093,0.388816944616789,0.0158280799174274,0.26754431886759,0.240246883035268
"StdErr",0.000481703176564425,0.000622373988183743,0.000546727475583169,0.00110740937903147,0.000696243663367812,0.00112212658666689,0.000544051446303233,0.000871679138281507,0.000700280643873298
