"","DWpM","WWpM","PDW","BD"
"SL18-OI-4",-0.0060066971864013,-0.0818362406132308,0.0102090521327425,-1.49327029379029
"SL18-OI-5",0.0133030451722231,0.151146224386368,0.0388692131438363,-0.265090593319512
"SL18-OI-6",0.00978203270080173,0.109637463634765,0.0036101739645182,-0.478294159778801
"SL18-OI-11",0.0357645086987483,0.787415406851579,-0.223641614507315,-0.265488672142254
"SL18-OI-15",0.0443231698891881,0.618367768670742,-0.0716146390950379,-0.668536663108731
"SL18-OI-16",-0.0234963439945434,-0.326266862655336,-0.0713326225428004,-1.87597218186305
"SL18-OI-17",-0.0189548050385504,-0.206674670566565,0.017402739391014,-0.854038260400712
"SL18-OI-18",-0.00255575146549214,-0.13914964957191,0.139589990624496,-1.45301065980825
"SL18-LD-1",-0.00954122869216401,-0.251836668025297,0.114449851999935,-2.24475310149793
"SL18-LD-3",0.00922006825295354,0.0788093548240441,0.0560004420233739,-0.619413399348358
"SL18-LD-4",0.00496561122629949,0.00576417028192958,0.0680431991557865,-0.623754779410009
"SL18-LD-5",0.00935730415179496,0.0655539067521544,0.0682939903399905,-0.646458985624031
"SL18-LD-9",0.0170308291024904,0.158660399673843,0.0713833994887901,-0.527905584780919
"SL18-LD-10",0.00364463836080683,0.0276371930232358,0.0385658812211541,-0.547228824392341
"SL18-LD-13",-0.00345602817820902,-0.0646255539875169,0.017480540455689,-1.51861383202768
"SL18-FW-2",0.0154114348178337,0.215616265117643,0.00218935560053796,0.0906879893746657
"SL18-FI-1",0.00789889245286249,0.119726514227454,-0.00658163670065165,-0.366388966684762
"SL18-FI-2",0.0107353680985752,0.154263838447531,-0.00559702028134706,-0.0377490787817771
"SL18-CC-1",0.0391605964817934,0.472080477812392,0.0271799248581927,-0.321774235983906
"SL18-CC-2",0.00519568848334659,0.27659121109971,-0.268544400633447,-0.626579762208076
"SL18-CC-3",0.112105292336933,2.02143674212501,-0.209832499671781,2.16595970077079
"SL18-CC-4",0.0125709564358572,0.280523550098803,-0.0629211849518739,0.346239361865557
"SL18-CC-5",-0.0312012928527673,-0.262838563796,-0.111839033728536,0.424691949014552
"SL18-CC-6",0.0745605715789416,0.898985174905907,0.0689943778424477,0.878059825970411
"SL18-CC-7",-0.0603644984668462,-0.666951887545853,-0.0479441494018837,-0.367271121522567
"SL18-CC-8",0.0215253147942325,0.358522131094578,-0.0112502301179413,0.672014859231215
"SL18-CC-9",-0.00105757245943559,0.0577941126495819,-0.0466892021882449,0.273097872052658
"SL18-CC-12",0.0493948840915665,0.981617983526541,-0.159970491519611,1.46071819801821
"SL18-FW-14",0.0140187466496415,0.179642984637545,0.00756322814115299,0.0283707829946541
"SL18-NC-2",0.00562307407571815,-0.318740464638268,0.260073264190398,6.1598540550284
"SL18-NC-1",-0.0191798313080922,-0.266785653727256,-0.0261218289247856,0.486731113349044
"SL18-NC-5",-0.0137475223704279,-0.23649024518088,0.0230336211739063,0.391183822841664
"SL18-JS-6",-0.041117489218854,-0.451074172265076,-0.114738444960489,0.0545634266223507
"SL18-JS-5",-0.0608725856221788,-0.734224982121364,-0.159661194999381,0.263041655186853
"SL18-JS-9",-0.0370352277143861,-0.629432779724737,0.145506978886809,0.442542683138841
"SL18-NC-8",-0.0159448608896909,-0.237339340883609,0.012470556075296,-0.0317565548684459
"SL18-NC-10",-0.0448123451026872,-0.696593587333869,0.119166282803637,-0.528134014896714
"SL18-NC-9",-0.00261912283375225,0.00191285839953735,0.000354439256312096,1.27309555204381
"SL18-NC-12",-0.0296183965155684,-0.478373458324226,0.0140347588093912,-0.0125976437812923
"SL18-NL-2",-0.0465988174934326,-0.751695839131353,0.0579217329702672,-0.529788290393919
"SL18-NL-3",-0.0140958827457428,-0.218057822262775,0.00782733481260643,0.458857712909147
"SL18-NL-5",-0.0117976606193821,-0.190067826557178,0.0331228897752268,0.252898820286021
"SL18-NL-7",-0.0201310781106845,-0.335040939364283,0.0346793774074335,0.431736287217475
"SL18-NL-6",-0.0286766723389549,-0.387616833940038,-0.0377173434718444,0.660905917236126
"SL18-NL-9",-0.022385697783829,-0.331369134877174,0.00233383307800039,0.570814437849977
"SL18-NL-10",-0.0192025802677318,-0.23489760969102,-0.114454349852963,0.2775047217855
"SL18-JS-19",-0.0438087956591239,-0.584060914337872,-0.0512340998581225,-1.7995347144476
"SL18-JS-16",-0.0875489374802572,-1.15492471173008,-0.0383096007660326,-2.16234961056474
"SL18-JS-11",-0.0196351963203171,-0.365888863910095,-0.0135733404514566,0.0430525979865413
"SL18-BL-10",0.0142171715704736,0.222787750511931,-0.00866719733316159,-0.0231045429550082
"SL18-BL-11",0.00904726832879679,0.102775819781576,0.0230416438519967,-0.01034478740342
"SL18-BL-12",0.0115003175966245,0.159832878050445,-0.00184083693859558,-0.0935925047020663
"SL18-BL-13",0.0184600675673148,0.253042695891053,-0.0057717090997853,0.173468276427897
"SL18-BL-14",0.0166251154318626,0.216755402309364,0.0123116914424395,0.0967068473877585
"SL18-BL-15",0.00806884128991342,0.108066582210852,0.00364775108357812,-0.116008818420217
"SL18-BL-16",0.0165496396469207,0.242935264463206,-0.0204614187246087,-0.133601797502398
"SL18-CC-10",0.0180516829451477,0.290894379169814,-0.0206640710355545,0.330493640412962
"SL18-CC-11",0.0127411328002877,0.210801525159894,-0.0195975804893403,0.350030052073093
"SL18-SF-13",0.0189753350119457,0.0688899581868025,0.118143127584674,-0.724574678080295
