"","DWpM","WWpM","PDW","BD"
"SL18-OI-4",-0.000926852089851531,-0.261772227947127,0.057229486563471,-18.4683073596076
"SL18-OI-5",0.00406894353527894,-0.0108527493698451,0.0249796394636686,-3.92831926467381
"SL18-OI-6",-0.021323211105425,-0.0615493892479681,-0.00847081585922364,-70.259825072143
"SL18-OI-11",-0.0112754864577165,-0.320497794579805,0.021379707638125,10.9059240488045
"SL18-OI-15",0.0928400231710463,1.3667417372454,-0.00585850408362059,74.8136272575638
"SL18-OI-16",0.0175340179584562,0.257476352757498,0.00937084846878172,35.8648488560304
"SL18-OI-17",-0.00938126127686211,-0.115425541440409,-0.00460744659309942,-15.1568844252851
"SL18-OI-18",0.0273731035084756,-0.106823475776436,0.0776071396250276,-53.3426071253721
"SL18-LD-1",-0.0599073051867588,-1.2126553829973,0.084218744475572,-30.2312201577483
"SL18-LD-3",-0.0247299378911748,-0.411302024657137,0.053463352125856,-25.0519279533952
"SL18-LD-4",-0.0422463615286481,-0.623982307165532,0.0524336500640677,-26.7101986002357
"SL18-LD-5",-0.0389820292184857,-0.384940985187641,0.0107402317851686,-34.2116300272655
"SL18-LD-9",-0.0348155388322667,-0.853731529661419,0.0800482019468368,-71.5442985403676
"SL18-LD-10",-0.0043480704111533,-0.245267922721683,0.0501230132989168,3.58081119977543
"SL18-LD-13",0.0145313307602224,0.0405805512887841,0.0674606697968596,43.8700143751685
"SL18-FW-2",0.0144500427294587,0.290321511091973,-0.0103213907961901,10.7072202035078
"SL18-FI-1",0.0202729905139245,0.383253424706407,-0.0166827441353777,16.6428674034281
"SL18-FI-2",0.0188052254275984,0.351731568684128,-0.0143974495642219,10.6785266382744
"SL18-CC-1",-0.00227850712499323,-0.0112900533610637,0.00668805708064215,-0.595177301623187
"SL18-CC-2",-0.005262736354565,-0.0454960878440973,0.00547617515776994,-0.100871024723439
"SL18-CC-3",-0.0151642187956129,-0.23635500659231,0.00745291497823872,-8.55582564719314
"SL18-CC-4",-0.000101622625279131,0.0325151887442043,-0.0005354231560437,9.07498836255116
"SL18-CC-5",0.00237861480423113,0.00906478182392661,0.0119103498047729,0.259466237333547
"SL18-CC-6",-0.00195437807609514,-0.0544436689157284,0.0101794939722678,0.842414815610402
"SL18-CC-7",-0.00823917675700991,-0.12145148654269,0.0051746558072453,-1.46812509587254
"SL18-CC-8",-0.00168263878267812,0.00856842402944384,-0.000988418667597659,-0.794612235697093
"SL18-CC-9",0.000335297347700228,0.0238801434967732,-0.00294294652379277,8.18025935937042
"SL18-CC-12",-0.00332123448939392,-0.0338813623834548,0.00380040993327697,-1.03634745800739
"SL18-FW-14",0.00733066567168057,0.179375319102846,-0.0123124745483438,5.90048029279149
"SL18-NC-2",-0.0074061082856662,-0.105647561244523,-0.0181720806897422,-0.356230305584582
"SL18-NC-1",-0.00665387820306637,-0.130957231381494,-0.00668265282057783,3.26625794310668
