"","DWpM","WWpM","PDW","BD"
"SA18-CB-4-FG3xSA18-CB-4-MG3",0.116720234355303,1.44898763019848,-0.119971351390766,-30.4840546380061
"SL18-LD-1-FG3xSL18-NL-9-MG2",-0.0864622467837881,-1.126554746256,0.0348484226850432,-26.5048426095862
"SL18-LD-1-FG3xSL18-OI-15-MG2",0.0964995620268426,0.431310362668052,0.142550435758068,0.600695128522998
"SL18-LD-2-FG2xSA18-CB-3-MG3",0.0563499288785985,0.307861602665818,0.1096957603926,-1.46267452965501
"SL18-LD-2-FG2xSL18-LL-9-MG2",-0.0719390608438506,-1.07253743366616,0.177506766071732,-36.312959870466
"SL18-LD-2-FG2xSL18-NL-9-MG1",-0.121144692003615,-1.54807518785945,0.0609088355155528,-70.3510178285115
"SL18-LD-2-FG2xSL18-SF-19-MG1",-0.0766935293835154,-1.28098292632649,0.404060395936544,-23.6773429775852
"SL18-LD-3-FG1xSL18-NL-9-MG1",-0.09061310114735,-1.05481175519706,-0.069702127090197,-54.1329458226543
"SL18-LD-3-FG1xSL18-SF-19-MG2",0.00161758952323625,0.100396127161588,0.122594481297375,10.0515362503963
"SL18-LD-3-FG2xSA18-CB-2-MG3",0.0686310420918098,0.615809920877911,-0.0193598497881732,3.96220871601817
"SL18-LD-3-FG2xSL18-LL-9-MG2",-0.0129523889100177,-0.105716184656127,-0.067279867715918,18.5224053914253
"SL18-LD-3-FG2xSL18-SF-17-MG3",0.0223844745925283,0.212882804840715,-0.00604177230939281,0.0972526353007806
"SL18-LD-4-FG1xSA18-CB-2-MG1",0.0289872350614244,0.123042424634284,0.0207096277231237,11.2548835150085
"SL18-LD-4-FG1xSL18-NL-3-MG2",-0.0701333145544493,-0.889969328501507,0.00935187553497295,-16.7039285104594
"SL18-LD-4-FG2xSL18-LL-9-MG1",-0.0537192010910924,-0.75465874981936,0.102548598990971,-31.0982505288568
"SL18-LD-4-FG2xSL18-SF-15-MG2",0.00442136481570879,0.0114650018302213,0.0507395981069575,-1.90452540328422
"SL18-LD-4-FG3xSL18-SF-17-MG1",0.025736336792166,0.0638548879665244,0.0563573459590826,-27.8899625642827
"SL18-LD-5-FG1xSA18-CB-10-MG1",0.109800080553945,0.547541414565166,0.0278403753293319,-18.4344027108995
"SA18-CB-7-FG1xSL18-LL-9-MG3",0.212869682787326,1.76966816248172,0.0994188575575844,-6.85888448347159
"SL18-LD-9-FG2xSL18-SF-13-MG3",-0.0214113315545209,-0.701717582165979,0.191011416089195,-42.1491818901521
"SL18-LD-9-FG3xSL18-NL-7-MG1",-0.0457878827855188,-0.651267122174898,0.0365582722115261,-34.5998401546145
"SL18-LD-9-FG3xSL18-SF-17-MG1",0.0347530542793875,0.0945058580229342,0.0644371695611041,-28.6533055952851
