"","dryWgtPerM","wetWgtPerM","percDryWgt","plotDensity"
"h2hMat",0.225916944129765,0.235239827570036,0.0303026636320427,0.203482163713663
"Vus",0.0422961854875484,3.33229769811418,0.166182505094687,3533.19994565462
"ErrVars",0.14492388182734,10.8332359725058,5.3179065212892,13830.4838346421
