,scheme,dryWgtPerM,wetWgtPerM,percDryWgt,plotDensity,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter
1,2019,0.442343294,0.539617442,0.021125228,0.359046777,0.412529998,0.579819349,0.481417635,0.581526446,0.495779804
2,2020,0.258284049,0.263222832,0.272954672,0.273500696,0.679695759,0.468875108,0.718405217,0.842387952,0.839723401
3,2021,0.088050056,0.134262158,0.165932942,0.020147925,0.782816764,0.597332357,0.56535565,0.781991545,0.752471225
4,Three,0.225916944,0.235239828,0.030302664,0.203482164,0.638184327,0.628176325,0.643729383,0.78111668,0.762824229
5,Two,0.357229318,0.429954721,0.059543895,0.266867869,0.670229689,0.627189416,0.592771326,0.817370555,0.768865148
