"","DWpM","WWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4",0.052660610006494,-0.179870236910538,0.233365573699037,33.17383401561,-60.0311563581879,-3.08330108782471,-0.255409057423018,-5.68681639174121,-1.52901784691092
"SL18-OI-5",-0.108994587553198,-1.29107061952646,0.178866563829697,-17.0891107569694,-17.6067527630707,0.904385448935789,-0.122807502090559,0.882710542456515,-1.11566226157559
"SL18-OI-6",0.242252434939531,1.77502772199894,0.537317480141676,-24.966685021738,4.37227367756716,2.51119791560381,0.0680832472640529,4.53870584093962,0.390190594266274
"SL18-OI-11",0.0392760943546083,0.214011016161321,0.0469449721913316,9.48460786807039,23.670535922589,-1.46972139242413,-0.101975557096064,3.47487159655936,0.0967018106042221
"SL18-OI-15",0.109351266352094,1.10292204986093,0.0839607843169344,51.4822684130381,33.1437294832871,-0.280110730640301,0.172969094225316,11.5659210853787,1.37086411777258
"SL18-OI-16",-0.0976875921860376,-0.960155258704317,0.147092634117193,13.3666947150207,9.96633686136326,-2.74486667416214,-0.0324277671154366,5.69172033626827,0.339672987751298
"SL18-OI-17",0.0466832828095394,0.577802845670645,-0.0330272619395843,-8.22208685123902,-10.7672910270316,0.813437482098252,0.00337467298112133,-6.32439021682048,-0.973904274725907
"SL18-OI-18",-0.0243014918490488,-0.652665244030183,0.277404391963973,-43.4661385789031,29.9205227743631,2.74327918122906,0.0539941380357856,6.86992698927715,0.78612460860363
"SL18-LD-1",-0.0537907885555529,-1.18534066145545,0.235866521427935,-17.2091259035793,2.49085821727336,-1.82034963384608,0.120120303684822,11.8567448998674,1.1224984645765
"SL18-LD-3",-0.0104637013097112,-0.377320458653409,0.100344766758941,-7.3875185168605,-9.11032538941843,-1.66728332664233,-0.0460559602124745,5.21154842939391,-0.170073789563183
"SL18-LD-4",-0.0186996786176011,-0.505621444354779,0.0972133158231363,-8.96231254863427,10.2797951306694,4.53626775967748,0.0843066551690152,12.9245413883477,1.70180134828183
"SL18-LD-5",-0.0632785380994591,-0.68363938492802,-0.0137205054097088,-18.1180794027398,26.0608723533725,-0.520435198423932,0.0676548579386579,3.12350894103284,0.943120111433341
"SL18-LD-9",-0.0163126826339619,-0.506323144048071,0.0918221165716409,-29.5115564304313,1.48872819719616,-0.744142684347528,0.0821197471213264,-10.7465527792722,-0.264414323173296
"SL18-LD-10",0.0146096003837344,-0.0490401079828076,0.0718094516254359,8.82974645270226,37.2498892210471,-2.8950333930998,0.350557024418739,9.31926578198144,0.917652264412032
"SL18-LD-13",-0.0591487103715647,-0.636000846110203,0.108288790298333,23.6029593965095,17.026092074564,-2.75246380174931,-0.0560332822047383,2.2093659505815,-0.217034670178347
"SL18-FW-2",0.0668028425944765,0.6772205973457,0.0255560316539986,15.391680694181,0.0171794894247403,-2.04036008021302,-0.00215733315833201,-2.27748052989916,-0.0175883926233533
"SL18-FI-1",0.0647504079183215,0.618930050467544,0.00949080256128956,18.5997039583816,5.67940100188414,-2.68689548988645,0.0343782431568528,-1.49672411534811,-0.0369459257363816
"SL18-FI-2",0.0608150399984474,0.593168653322301,0.00902357962587014,15.3895670707518,-6.79767470179887,-1.76774750360007,0.000201527706025061,-3.88412916278961,-0.174636391044294
"SL18-CC-1",-0.0229586272003865,-0.179585246554266,0.0631600211104834,3.41590365986233,-16.4123634877181,5.35669222778048,0.0912474952030759,-8.64661962403274,-0.462852897649448
"SL18-CC-2",0.140363755214103,2.07379296362067,-0.129920274069831,1.59387843951696,29.2808377400143,0.819397859607057,-0.182464531638927,-7.9930345616101,-1.36997999256519
"SL18-CC-3",0.124959376910311,0.871800592315504,0.0834234598159984,-3.44937236848085,52.1943264516929,0.188375681600182,-0.030454651615987,-9.21151272711432,-0.407718455640541
"SL18-CC-4",-0.00422704956615098,0.111307200731446,-0.0453579434245251,-12.3237061871637,9.63106123959972,4.91454358674383,0.0947015813099375,-8.51743454470429,-0.143279645281608
"SL18-CC-5",0.135703573871975,1.5717801408771,-0.177816977585422,-7.56726117640839,-19.5165780844267,-3.07000900761582,-0.289455697911184,-19.1714377312417,-2.35734233108321
"SL18-CC-6",-0.0733816390344867,-0.570908684035171,-0.104294727077883,-23.0373315894099,-38.6645142461362,1.05274313661699,-0.1906059610732,-15.3259458838406,-0.9339190025766
"SL18-CC-7",0.0994656573890139,1.16694763014077,-0.0944927810815074,9.42506389542565,8.04756311644665,2.52801360356059,-0.023558150516858,-10.5410098472139,-0.322744252121501
"SL18-CC-8",-0.0777192395543654,-0.452797141531181,-0.139907628113921,-9.84303658458338,-23.8083251193261,0.797479273676682,-0.238792110039114,-5.96123211840199,-1.19864664186159
"SL18-CC-9",0.00122410750615795,0.224415637903813,-0.0762797304614855,0.0348809545524835,-6.73861610982226,0.653881496157662,0.0101576798042929,-16.298993812975,-1.60859295932798
"SL18-CC-12",0.201317164296269,2.11650636977969,-0.0054102946422222,39.1470585109835,-45.0401911823138,-1.67028503016484,-0.12712415534975,-11.4546696968193,-1.75859468481731
"SL18-FW-14",0.056383170504753,0.528686393076478,0.0396522185957881,9.58136543978456,6.56038376879056,-1.20067464416286,0.0112612074328136,-2.93410888050661,-0.00354157007164722
"SL18-NC-2",0.103103303037506,1.21019863087215,-0.0949930547785193,11.4463434730514,5.31249539491504,3.14162568440762,0.0795828227428438,16.3792336784211,1.25137273596874
"SL18-NC-1",-0.106552120945651,-0.991222162959853,-0.0675058369052064,-9.30456617057065,16.685111078421,7.42034020182783,0.0205489916391812,5.22747455007911,1.07539386985296
"SL18-NC-5",-0.184217400447153,-1.7355846033226,-0.196773876387479,-20.2999535445025,-34.1673946575609,2.64101304389167,-0.038609885405969,-3.57822166458177,-0.549277255745391
"SL18-JS-6",0.182914809587479,1.16815723601758,0.596605641061263,-11.2085037723217,-36.3989474033941,2.9811239045102,-0.236712713076651,-9.08080610043607,-1.08635508212182
"SL18-JS-5",-0.117731054858122,-0.606774065986919,-0.327451405225766,-28.9357241313697,20.2212422967802,-0.669956807707582,0.130117418358751,2.18088381251739,0.414581930146532
"SL18-JS-9",-0.240038852516714,-2.25908109903346,-0.132218898291464,-26.3869103548719,-31.4691767940572,2.9905776147437,-0.0520927861761835,6.87316368452233,1.29770870928507
"SL18-NC-8",-0.158827597514582,-1.45642118817331,0.0168780865794518,-25.5094313411173,56.4266589160513,9.3536061398794,0.260403505150964,16.0149747937336,2.79184495772765
"SL18-NC-10",-0.214837572017325,-1.72359780397446,-0.511204330950485,-9.92040691475585,-10.9538751128036,-0.0231430294360593,-0.000170403872543407,1.94897047339848,0.902382567257811
"SL18-NC-9",-0.096156917321642,-0.95553574553628,0.100254280953859,-11.7842294363424,-20.8008835721912,-1.70048264028657,-0.084884563684859,7.93349826956393,0.102442559013787
"SL18-NC-12",-0.148473271214713,-1.42752557426838,-0.0466036345770258,-13.6218694399429,-6.99283204004836,0.44288430497731,0.0330711762957417,1.36071165719941,0.676865933563838
"SL18-NL-2",-0.0967386913632383,-1.09808357171992,-0.0793484449929733,-15.5182034425677,11.4882502086322,0.527169130623319,0.103168774739572,9.41413136851499,0.941260877590439
"SL18-NL-3",-0.0793544554088603,-0.593345822342164,-0.150775968640867,-20.1813154059825,-3.14657687985512,0.451271122911283,-0.030713558226834,12.4636669805832,0.212696615679442
"SL18-NL-5",-0.0511318557619301,-0.655390871050666,-0.0438142897490466,-9.61928171285816,11.761063027313,0.795755530429816,-0.0921021248691196,5.01494958999942,0.438661184881413
"SL18-NL-7",-0.10282833715186,-1.07286929826938,0.0542920272376779,-39.4308343367014,5.18534472454113,6.33504026483582,0.0600459787281726,13.2586654607792,1.05003141428399
"SL18-NL-6",0.00295398924548919,0.352426905462836,-0.220631166163684,75.2131997098183,-12.975654918308,0.670529414800715,0.108665639168846,12.1572999108597,1.62116756825547
"SL18-NL-9",-0.0896653011802827,-0.531602754872061,-0.31277124116504,-6.9576830063901,-7.93558308131583,-0.687941534758941,-0.0206418754450927,15.5101925488504,1.0916461347105
"SL18-NL-10",-0.0625188084346356,-0.370927069700355,-0.0906643109691017,14.7409893210444,41.9352918161367,-3.60466729980895,0.183496731448044,10.1169094242894,0.550139553255479
"SL18-JS-19",-0.174633786788547,-1.62149107345981,-0.0347551045737952,-48.9958485324674,57.3702085113783,-0.372479014084499,0.0876290895145161,15.0902459913306,0.96062804021048
"SL18-JS-16",-0.149700041872303,-1.4759694734974,-0.0752315768990464,-23.9655951319061,-39.1089737113611,-0.31959579152681,-0.0615052151798916,-0.240444205451568,-0.0208177209379098
"SL18-JS-11",-0.126554432604473,-0.987678799360294,-0.185758074334512,0.737018618743335,-34.9204919684548,1.56068144698767,-0.19785838116971,-3.04225662512533,-0.342273721222765
"SL18-BL-10",0.0401229084186247,0.456048972229519,0.00871455154182672,15.1544831584648,-0.788417630434583,-2.00512579494563,0.0216619978606499,-4.4397100962813,-0.196679002625321
"SL18-BL-11",0.0636645506076867,0.603263164056405,0.0169039557949549,14.9715865194292,-0.333471740973105,-2.86821515888647,0.0440479358447905,-3.36842612027197,-0.0622534341212165
"SL18-BL-12",0.0666957649606966,0.59586922783415,0.0563533373938238,14.7721362725683,-0.124869027045522,-1.9756431061064,0.019906658026584,-1.13234440719375,0.0546274947180834
"SL18-BL-13",0.057857263819284,0.617440944255283,0.00778383126603903,14.6155317508959,8.42731553969583,-2.47105335142558,0.0447048809902034,-2.28693762247896,-0.0245770274918442
"SL18-BL-14",0.0613169853208556,0.584123501645583,0.0324056577421962,11.6765091766847,1.54263858467808,-2.13991039643859,0.0453838477108001,-1.23099446233781,0.111997915945036
"SL18-BL-15",0.0603763487025381,0.567690643517136,0.0293095855857557,15.3502941834116,-6.58208369775403,-1.97371096044216,0.0172431562423606,-2.29666886522188,-0.0591035156245572
"SL18-BL-16",0.0823138740784515,0.747788742742011,0.0977691723940848,12.8865256661713,-8.39906575882164,-1.64442244417219,0.01301592542015,-5.141435469891,-0.30909704517678
"SL18-CC-10",0.0819528576916903,0.728946423552433,0.017055247842594,-2.35802248600174,-18.8610243150753,-1.4754249801125,-0.0164828795993958,-8.1398620231601,-0.863305664632471
"SL18-CC-11",0.24821782273161,3.19935581618589,-0.171685326390723,71.278579601284,-12.6533459733138,-1.06114186267954,-0.0479578928942086,-8.7996434727363,-1.74920885985265
"SL18-SF-13",0.10482803482571,0.769444377425953,0.148755229056359,21.8963137497026,-31.1332579135925,-4.1973412876161,-0.215820645316256,3.85501321307474,-1.04484356410857
"SL18-OI-2",-0.0510779982775815,-0.852458763739875,0.155051069967021,-16.5136811911228,8.17747612630341,1.90120373856373,0.0333097530181846,-6.17122957948874,-0.121243294649751
"SL18-OI-14",0.0774546753232946,0.875799058362582,0.108746835515787,-37.0593541911539,-9.6723302958148,-0.00203482439992502,-0.0347572759562518,7.75337517719412,-0.530937546065599
"SL18-PI-1",0.0182952803100763,0.25854344647657,-0.0270437569377051,13.4347392393096,-4.56367266750247,-1.10543894202722,0.0147192247233855,-0.817612144823765,-0.0371028505346692
"SA18-CB-1",0.0434135072526532,0.383769610167316,-0.0231687545106782,10.0022029536805,-5.21496108808425,-1.16870124047667,-0.045166929577942,4.81070607865842,0.153249205071861
"SA18-CB-3",0.116188728941346,1.3157133759333,-0.237969589582706,31.4874862359037,-23.2287868857191,-3.02076527325832,-0.0598198032787697,-0.60489109163369,0.0422139984619452
"SA18-CB-4",0.0994534542180402,1.15284550025105,-0.192080626863928,-31.8334954000264,-1.22324080382028,-3.65315779118168,0.0207932641161646,-3.35668008555876,-0.621721294521783
"SA18-CB-7",0.241859793039476,2.33285949277424,0.0270552265622839,16.662682479307,-30.7032299076706,0.475743918608252,-0.118425085020635,-8.99246763477546,-0.790528680473211
"SA18-CB-10",0.250887310815625,2.50287718569037,-0.077554298269526,2.52276506433493,-7.38108370427242,-0.611374484315872,0.00945222116893397,9.82939230089662,0.0929492098048603
"SL18-NC-11",-0.123258154917018,-1.13176782822781,-0.0607449889605916,-10.292182126197,52.661452161854,-5.52656208419699,-0.11168559345718,-2.1595464073569,-0.665308339742195
"SL18-TI-1",0.0278589033417774,0.295220628967021,0.0187419343024269,6.16371603366504,-2.46135445349355,-0.954319778594699,0.00569764637704513,-1.33415391233731,-0.00795401308129139
"SL18-TI-2",0.0195628632853733,0.207960090068961,0.0248826394335053,5.6493575299549,2.8926712240788,-0.764756973089146,-0.00675876348713754,-1.18960730103754,-0.051650591907853
"SL18-TI-3",0.0261856688065018,0.267554719748761,0.0255535401460361,6.28345961384325,-9.39687924752734,-1.33649197201849,-0.0472890562037434,-4.73800542019562,-0.234271695760567
"SL18-TI-4",0.0293923797393234,0.366219958471432,-0.00124440727533416,9.8366787637143,-11.5896296037244,-0.632735486056289,-0.0141122468827235,-4.53518997661847,-0.161619574177769
"SL18-BL-17",0.031752162196941,0.321974946181253,0.0327555219298577,11.6255596034311,-8.54678208251191,-1.43311027534581,-0.0129549036409761,-3.08035990066681,-0.233993132864365
"SL18-OD-3",-0.087712829430266,-0.768303809859166,0.0114631396894473,-16.6232408681363,-22.4273619613586,-2.48951920490033,-0.0683316931008524,-16.0825459258136,-1.49515659876985
"SL18-OD-5",-0.102028802791153,-0.919606397237951,-0.0699078587454418,-6.99248371674333,-1.6059228351943,1.86125091905262,0.135345220245621,-5.26093684872256,-0.370157234468746
"SL18-OD-6",0.0365707421812925,0.41321606092398,0.0781918876958509,-8.08766138800839,-2.01506901152248,6.26099606511484,0.148648978874767,14.8956223891816,2.69228035852824
"SL18-OD-10",0.032767337706878,0.380793167610323,-0.0138627464247552,4.56560743089445,-11.5190199768387,-1.65427487683189,-0.0661875462891724,-6.07971380936951,-0.878413159599173
"SA18-CB-2",0.0619828736265352,0.565144528091385,-0.0192887809243551,-2.17419790481234,13.2227262467156,0.207923684474614,-0.00109639069878348,-13.014752079131,-0.856365105753689
"SL18-NC-15",-0.0463226016553149,-0.201758856866303,-0.0899949419206431,65.5537034132592,5.68617667706665,4.28917277421459,0.119872227949819,-1.66373519907795,0.923881564142382
"SL18-BL-18",0.0114275290565458,0.125573771949356,0.00330749906755332,8.99501494862703,6.66145415593745,-1.03768625615073,0.0561850043571879,-0.671800089185569,0.167365509458513
"SL18-FW-21",0.0325652183911833,0.383286662079779,0.00794481710303553,9.8059807000303,-0.692746294007632,-1.11467568123639,-0.0195729164366216,-0.692014457575588,0.063261213922925
"SL18-SF-17",0.0481646956070518,0.595718714754924,-0.0121743236572799,5.69199412220975,15.2404686513314,-0.714703146944725,0.122949382927257,6.01405679471283,0.689291805584922
"SL18-LL-9",-0.0865960651068943,-0.963759508050697,-0.0738547305924918,-10.0765405653796,58.8582296842609,-0.560419947673952,0.21100658239855,0.360674685755211,0.320061333892415
"SL18-LD-2",-0.0185671198116655,-0.925395527992994,0.450369625936581,-49.5305278733751,-10.4100884215639,0.206421589816443,-0.110726207889073,-3.39265843942185,-0.955974406148775
"SL18-FW-12",0.00999429644084974,0.232220348479427,-0.0264284446504984,0.943695210929527,-8.65842140965926,-0.0825854712395542,-0.00433392693342407,-3.10435524738503,-0.00607465504187796
"SL18-SF-19",-0.0173660012656397,-0.0734879673299959,0.271543838246595,47.3123332819184,23.1512182987709,-0.903149899883581,0.081660325642647,8.05557529080001,1.37736338748248
"SA18-CB-5",0.0129205520700671,0.00789725407822266,0.00769452634894062,-23.0115267198548,-16.6819882498396,-1.13005807003889,0.137740309580635,4.22094628905046,1.14046034538662
"SL18-SF-15",0.0749626955182564,1.12267158489294,-0.122013173184692,33.1850378099382,19.4350516645342,-1.94154549637881,-0.00827514442761593,-5.35124871649689,-1.20321131931038
"SL18-SF-18",-0.0280117152707964,-0.464276841162516,0.113296297236286,-1.19773042634768,-13.7180416248151,0.388663474312867,-0.0350132383848931,-2.09072871928279,-0.181166667375823
"SA18-CB-9",0.121538450162061,0.94185971448537,0.0172184455867613,15.0126860989681,-40.4125116496896,-6.27045843753203,-0.166433502981461,-4.13804701746644,-1.17199959109006
"SL18-OI-7",0.0919730202078628,0.697408797884329,-0.0710395607063774,55.3043431627054,-15.356057875712,0.419284475122056,-0.134541306629382,0.192002525470977,-0.133205184849472
"SL18-OI-9",-0.00494517275524427,-0.296474148933438,0.115867230161529,16.2341894256611,-3.22527712783268,-4.7762106928268,-0.0210470851535108,-11.2440832442117,-2.11963797468686
"SL18-TI-5",0.0304426987226141,0.314645178453658,0.00808100742586276,1.3888070407456,3.52464823496707,-0.445535945119158,0.00290741755785353,-2.56133358106943,-0.10453406391316
"SL18-CB-2",0.0000000000000000609861267202112,0.00000000000000158514622864882,-0.000000000000000655168794188122,0.0000000000000374888179928979,-0.000000000000382251354561672,-0.00000000000000098179718932731,-0.0000000000000000452137359501423,-0.000000000000166473851974258,-0.0000000000000159128313230235
