"","dryWgtPerM","wetWgtPerM","percDryWgt","plotDensity"
"h2hMat",0.442343294079478,0.539617442238084,0.0211252281087989,0.35904677654929
"Vus",0.00584679600971689,1.61148608019668,0.11483287307221,9766.54317369346
"ErrVars",0.00737098323091599,1.37486305172348,5.32098407909511,17434.76821965
