,wetWgtPerM,percDryWgt,dryWgtPerM,densityBlades,Year.x,plotNo.x,Crosses.x,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter,Year.y,plotNo.y,Crosses.y,Order
2019_98,2.091407908,-1.178351071,0.108686505,339.1818118,2019,2019_98,SL18-NL-6-FG1xSL18-LD-3-MG2,-16.91769261,0.888510277,-0.184060024,8.692608954,0.742483637,2020,2019_98,SL18-NL-6-FG1xSL18-LD-3-MG2,
2019_73,1.594496241,-0.931238772,0.107425497,47.51462193,2019,2019_73,SL18-NL-2-FG1xSA18-CB-1-MG2,50.86381615,-3.580486746,0.257592816,-4.538257226,-0.690414886,2020,2019_73,SL18-NL-2-FG1xSA18-CB-1-MG2,
2019_5,1.83302097,-1.063118454,0.0971159,-35.41079656,2019,2019_5,SA18-CB-7-FG1xSL18-LL-9-MG3,60.99168664,2.129704912,-0.022687061,8.649130041,0.899178949,2019,2019_5,SA18-CB-7-FG1xSL18-LL-9-MG3,
2020_272,0.76735361,-0.341620992,0.095254822,50.51560096,2019,2020_272,SL18-SF-17-FG2xSL18-NC-12-MG1,41.84384857,11.99547467,0.169778301,16.90215053,3.509783646,2019,2020_272,SL18-SF-17-FG2xSL18-NC-12-MG1,
2019_63,1.247547823,-1.105586495,0.088310991,164.7869476,2019,2019_63,SL18-NL-10-FG1xSL18-SF-13-MG1,0.593964619,0.000593518,0.002480667,-3.844707841,0.011331797,2020,2019_63,SL18-NL-10-FG1xSL18-SF-13-MG1,
2020_66,0.404894543,0.153223024,0.079896497,108.098969,2019,2020_66,SL18-SF-13-FG2xSL18-JS-9-MG2,-0.318881843,6.422662821,-0.013777292,14.10689621,1.717790671,2019,2020_66,SL18-SF-13-FG2xSL18-JS-9-MG2,
2019_60,1.174769095,-1.040676151,0.076954511,4.250969487,2019,2019_60,SL18-NL-10-FG1xSL18-OI-15-MG1,-3.830178263,-2.739757195,0.165639283,-0.883464324,0.32357212,2020,2019_60,SL18-NL-10-FG1xSL18-OI-15-MG1,
2019_121,0.838680465,0.395483444,0.07432919,331.3963152,2019,2019_121,SL18-NL-9-FG2xSL18-SF-19-MG1,-14.3682381,-3.293480078,0.048925092,-5.410940998,-1.486838928,2019,2019_121,SL18-NL-9-FG2xSL18-SF-19-MG1,
2019_147,0.105706073,0.813630868,0.054804529,-110.1663494,2019,2019_147,SL18-OI-18-FG2xSA18-CB-7-MG1,31.27736147,-2.520318743,0.241239641,-5.443918328,-0.82751394,2019,2019_147,SL18-OI-18-FG2xSA18-CB-7-MG1,
2019_6,0.003481244,0.933633311,0.015123645,60.86110391,2019,2019_6,SL18-LD-10-FG1xSA18-CB-1-MG2,15.39758959,-1.668554605,-0.146015486,-0.768002592,-0.327539527,2019,2019_6,SL18-LD-10-FG1xSA18-CB-1-MG2,
2019_196,0.525411269,-0.821337804,0.013132232,NA,2019,2019_196,SL18-SF-17-FG3xSL18-NL-2-MG3,-14.11953851,-2.190683619,0.092411739,3.894448964,0.352187404,2019,2019_196,SL18-SF-17-FG3xSL18-NL-2-MG3,
2019_54,-0.060030955,-0.374661288,0.005288988,87.52752664,2019,2019_54,SL18-LD-9-FG3xSL18-SF-17-MG1,-23.25508379,0.147094481,-0.173530128,6.443276124,0.853946962,2019,2019_54,SL18-LD-9-FG3xSL18-SF-17-MG1,
2019_155,-0.267476875,0.375175902,0.003872945,19.69472193,2019,2019_155,SL18-OI-18-FG5xSL18-LD-2-MG1,-13.39403556,-1.015227451,0.023166171,-4.024405177,-0.884179679,2019,2019_155,SL18-OI-18-FG5xSL18-LD-2-MG1,
2020_158,-0.019439425,1.255428378,-0.002891358,9.767710675,2019,2020_158,SA18-CB-2-FG3xSL18-OI-2-MG2,6.284366044,-3.805182854,0.046900253,1.220289384,0.358726225,2019,2020_158,SA18-CB-2-FG3xSL18-OI-2-MG2,
2019_80,0.681941949,-0.821337804,-0.004312057,6.966089482,2019,2019_80,SL18-NL-2-FG3xSL18-OI-16-MG1,-8.314998763,-2.889516257,0.071799187,-5.842414228,-0.994364348,2020,2019_80,SL18-NL-2-FG3xSL18-OI-16-MG1,
2019_21,0.564609923,-1.925408683,-0.006313372,136.510935,2019,2019_21,SL18-LD-1-FG2xSL18-SF-15-MG1,-17.39425106,2.422674414,-0.074852567,13.51437621,0.801919761,2019,2019_21,SL18-LD-1-FG2xSL18-SF-15-MG1,
2019_158,0.872082611,-2.156370158,-0.006313372,18.87055046,2019,2019_158,SL18-OI-18-FG6xSA18-CB-1-MG2,47.69744922,-2.3414471,0.151617796,-5.479107924,-0.583980573,2019,2019_158,SL18-OI-18-FG6xSA18-CB-1-MG2,
2020_111,-0.842915524,2.661539253,-0.016399742,-12.44785363,2019,2020_111,SL18-CC-1-FG2xSL18-OI-16-MG1,-6.518414015,1.031559001,-0.162910907,-6.124537463,-1.184011847,2019,2020_111,SL18-CC-1-FG2xSL18-OI-16-MG1,
2019_175,0.28307009,-2.633075779,-0.017466247,-66.27206904,2019,2019_175,SL18-OI-6-FG1xSA18-CB-4-MG1,6.802848231,-2.73830985,-0.068485945,-1.954639798,-0.451783981,2019,2019_175,SL18-OI-6-FG1xSA18-CB-4-MG1,
2019_141,-0.434166074,0.476713613,-0.035735308,-124.0203164,2019,2019_141,SL18-OI-16-FG3xSL18-NL-6-MG1,-11.44664597,1.023046404,-0.064054158,-7.312930035,-1.051532786,2019,2019_141,SL18-OI-16-FG3xSL18-NL-6-MG1,
2020_191,-0.626905798,1.8778661,-0.040770342,-117.3985442,2019,2020_191,SL18-SF-17-FG2xSA18-CB-1-MG13,58.72451288,3.019745403,0.252815609,6.176424265,1.620446468,2019,2020_191,SL18-SF-17-FG2xSA18-CB-1-MG13,
2019_192,0.594625649,-2.085371448,-0.044155317,153.1470548,2019,2019_192,SL18-SF-17-FG3xSA18-CB-10-MG1,31.49284968,-4.959716522,0.099706662,10.55669574,0.686869024,2019,2019_192,SL18-SF-17-FG3xSA18-CB-10-MG1,
2019_198,0.140359843,-0.839937453,-0.045565055,232.6584097,2019,2019_198,SL18-SF-17-FG3xSL18-OI-7-MG1,-23.60451767,-1.712297206,-0.007893942,6.425377781,0.632761964,2019,2019_198,SL18-SF-17-FG3xSL18-OI-7-MG1,
2019_38,-1.736414086,6.45745905,-0.045565055,-122.9907087,2019,2019_38,SL18-LD-3-FG1xSL18-SF-19-MG2,8.576670494,5.225859052,0.267181776,4.565508102,0.679652247,2019,2019_38,SL18-LD-3-FG1xSL18-SF-19-MG2,
2019_10,-0.615871862,0.131485396,-0.045565055,-60.79633342,2019,2019_10,SL18-LD-10-FG1xSL18-OI-4-MG1,-11.07390879,1.839429927,-0.200590003,0.284910503,0.313962099,2019,2019_10,SL18-LD-10-FG1xSL18-OI-4-MG1,
2019_40,0.931457764,-2.7826469,-0.054317609,195.2462638,2019,2019_40,SL18-LD-3-FG2xSL18-LL-9-MG2,-24.99788226,0.439919837,-0.248569102,1.544475883,-0.054951648,2019,2019_40,SL18-LD-3-FG2xSL18-LL-9-MG2,
2019_57,4.958995978,-4.7829398,-0.065261982,225.0163701,2019,2019_57,SL18-NL-10-FG1xSA18-CB-4-MG3,45.87582383,-3.996183242,0.265677651,-3.823748649,-0.322976822,2020,2019_57,SL18-NL-10-FG1xSA18-CB-4-MG3,
2020_219,-0.320844173,0.221608029,-0.06815285,50.62279937,2019,2020_219,SL18-CC-5-FG2xSL18-NC-10-MG2,6.354010334,4.049345093,0.262139478,-3.634985303,0.459263818,2019,2020_219,SL18-CC-5-FG2xSL18-NC-10-MG2,
2020_57,-1.393584582,4.34150973,-0.073406715,10.82964022,2019,2020_57,SL18-CC-3-FG1xSL18-OI-16-MG2,50.41085909,3.284279862,-0.110864153,-5.182968841,-0.953897733,2019,2020_57,SL18-CC-3-FG1xSL18-OI-16-MG2,
2019_47,-1.262421624,1.320860415,-0.074693123,-240.1860844,2019,2019_47,SL18-LD-4-FG3xSL18-SF-17-MG1,20.27279501,2.89681128,-0.016607509,6.832772725,0.828424814,2019,2019_47,SL18-LD-4-FG3xSL18-SF-17-MG1,
2020_244,-0.688455681,-0.423069013,-0.077599887,-5.202743229,2019,2020_244,SL18-CC-1-FG1xSL18-CC-4-MG11,-27.55462497,4.229854392,0.01131759,-1.656744759,0.072086898,2019,2020_244,SL18-CC-1-FG1xSL18-CC-4-MG11,
2019_43,-0.555404594,-0.839937453,-0.086362536,109.2292179,2019,2019_43,SL18-LD-4-FG1xSA18-CB-2-MG1,16.16785872,-1.379505458,0.077561531,-1.607460469,0.029099237,2019,2019_43,SL18-LD-4-FG1xSA18-CB-2-MG1,
2019_125,0.020027439,-1.228823797,-0.094143311,-59.20647441,2019,2019_125,SL18-OI-15-FG1xSA18-CB-2-MG3,18.57598211,-1.863153525,-0.093021965,-1.117031639,-0.33772417,2019,2019_125,SL18-OI-15-FG1xSA18-CB-2-MG3,
2019_150,-0.946705241,-0.222385203,-0.095736945,27.53626663,2019,2019_150,SL18-OI-18-FG2xSL18-NL-2-MG2,-37.64515973,-3.295678292,-0.163307427,-8.249841898,-1.502291942,2019,2019_150,SL18-OI-18-FG2xSL18-NL-2-MG2,
2019_28,-1.298757854,-0.779069908,-0.096740913,190.6065867,2019,2019_28,SL18-LD-1-FG3xSL18-OI-7-MG1,-28.54557352,-1.063105706,-0.07924976,2.861640212,-0.730869748,2019,2019_28,SL18-LD-1-FG3xSL18-OI-7-MG1,
2019_180,-1.437858612,1.615079553,-0.103627445,-137.9921839,2019,2019_180,SL18-OI-6-FG1xSL18-NL-9-MG1,-7.646477797,0.007893602,-0.14854878,-4.679564617,-0.526610434,2019,2019_180,SL18-OI-6-FG1xSL18-NL-9-MG1,
2019_153,-0.970303832,0.396870875,-0.105362347,-75.30002358,2019,2019_153,SL18-OI-18-FG3xSL18-OI-7-MG1,-10.52374494,1.088945636,-0.091043525,-6.818370775,-0.834240762,2019,2019_153,SL18-OI-18-FG3xSL18-OI-7-MG1,
2019_186,-0.986114149,-0.69791318,-0.106761276,26.94308996,2019,2019_186,SL18-OI-9-FG1xSL18-LL-9-MG2,-15.03148637,3.062540921,-0.017429746,3.866543797,0.81047912,2019,2019_186,SL18-OI-9-FG1xSL18-LL-9-MG2,
2019_96,-1.459291019,-0.56397053,-0.113807306,97.35525742,2019,2019_96,SL18-NL-6-FG1xSL18-LD-1-MG2,-13.53593865,2.270917493,-0.246165816,-0.249207834,0.002012309,2020,2019_96,SL18-NL-6-FG1xSL18-LD-1-MG2,
2019_172,-1.829978316,0.366415658,-0.123987167,NA,2019,2019_172,SL18-OI-2-FG3xSL18-SF-17-MG1,-26.60821573,-0.554798549,-0.14854878,-5.512767659,-0.868907692,2019,2019_172,SL18-OI-2-FG3xSL18-SF-17-MG1,
2019_33,-1.391010243,0.316545913,-0.12576469,-61.47910279,2019,2019_33,SL18-LD-2-FG2xSL18-LL-9-MG2,-31.0944834,-0.720389419,-0.051988306,2.964907045,0.026594858,2019,2019_33,SL18-LD-2-FG2xSL18-LL-9-MG2,
2020_233,-1.409374579,1.592769501,-0.125986588,50.33894938,2019,2020_233,SL18-CC-8-FG1xSL18-OI-18-MG3,6.743647456,7.485775017,0.041847362,-5.02708262,0.178799646,2019,2020_233,SL18-CC-8-FG1xSL18-OI-18-MG3,
2019_194,-1.642580678,0.011104793,-0.128549173,-13.42579644,2019,2019_194,SL18-SF-17-FG3xSL18-LD-2-MG1,-22.81565419,0.473151755,0.074982596,-2.258586081,0.0254735,2019,2019_194,SL18-SF-17-FG3xSL18-LD-2-MG1,
