"","x"
"dryWgtPerM",0.258284048591417
"wetWgtPerM",0.263222831872563
"percDryWgt",0.27295467246964
"plotDensity",0.273500696198839
"bladeLength",0.6796957585526
"bladeMaxWidth",0.46887510809076
"bladeThickness",0.718405217035249
"stipeLength",0.842387951693926
"stipeDiameter",0.839723401356021
