"","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.194315542877164,-0.0333433662162369,0.155014060572095,-0.0497835188761106,0.34608744697225,0.344955126180582,0.0567331377109284,0.325152607354934,0.360213726746346
"StdErr",0.00113603684432925,0.00106663580803978,0.00060044517939216,0.00138748858317291,0.00093083287118155,0.000864967039976012,0.00135315565201132,0.0012193862724033,0.00107739212945414
