Model,Dataset,WWP,pDW,DWpM,Ash,AshFDWpM
Pedi_Marker,2019_2020,0.24,0.14,0.22,0.14,0.21
Pedi_Marker,2019,0.39,-0.15,0.39,0.29,0.12
Pedi_Marker,2020,0.19,0.10,0.19,0.08,0.19
Pedi,2019_2020,0.21,0.08,0.18,0.17,0.17
Pedi,2019,0.34,-0.18,0.35,0.26,0.03
Pedi,2020,0.12,0.07,0.11,0.07,0.11
GBLUP,2019_2020,0.22,0.01,0.18,0.07,0.15
GBLUP,2019,0.38,-0.15,0.37,0.24,0.08
GBLUP,2020,0.13,0.13,0.11,0.05,0.15
