"","x"
"dryWgtPerM",0.225916944129765
"wetWgtPerM",0.235239827570036
"percDryWgt",0.0303026636320427
"plotDensity",0.203482163713663
"bladeLength",0.638184326745507
"bladeMaxWidth",0.628176324863391
"bladeThickness",0.643729383247513
"stipeLength",0.781116679911387
"stipeDiameter",0.762824229469515
