"","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter"
"corMean",0.242671450704156,0.0571035210275157,0.227030305987779,0.0853063840243675,0.164726082735345,0.319618423532567,0.0277352437125336,-0.0795805177466532,0.0641597402420307
"StdErr",0.000509038257709336,0.000499434329881966,0.000504207309829131,0.000819089715545909,0.000555974991376139,0.000539408101949744,0.000407825002554787,0.000441324779999819,0.000385477286163621
