"","DWpM","WWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4",0.0434160960898034,-0.0171410295539464,0.302365006334394,46.2896735418228,-17.8710433551444,2.79338048243743,-0.188830333427823,-9.22532432438689,-1.1374097590765
"SL18-OI-5",-0.0640222917084078,-0.56456340801204,0.507966083884729,-14.4845921532073,-2.08265355540156,4.55746425242254,-0.191127296857701,4.79275835238958,-0.0323834763686722
"SL18-OI-6",0.270387532621213,1.72213559154394,2.28069755605121,27.4216611503065,65.279527883086,1.81655609928588,0.193117406526875,21.5496606563499,2.33156828355548
"SL18-OI-11",0.0292755570775755,0.230596319389189,-0.0494954389224561,0.157034857604924,-19.1832182528201,4.221433146506,0.0226604262508075,1.68110094265024,0.803959206655734
"SL18-OI-15",0.0567676013414372,0.325674822925364,0.334098554763447,3.99920989618661,33.6958409007984,1.15131439082108,0.0738207383442509,-2.26902962541326,-0.513193820832398
"SL18-OI-16",-0.116534222219937,-1.10403421241119,0.436934254116755,-18.5338899874511,-38.1254003593935,-3.3606060324119,-0.11683637605698,-0.0083657030949002,-0.484520421359365
"SL18-OI-17",0.0548290464027724,0.52839692568606,-0.173817387558941,2.40677875049273,-17.3164935086993,-0.455615268703445,0.0493763287160018,10.2337340575389,1.78822281308342
"SL18-OI-18",-0.054543490412973,-0.606898942267513,0.365481068407748,-4.79010656836478,-11.8125055072499,1.85838546140533,-0.072364882584113,-9.77232053230067,-1.19983391710394
"SL18-LD-1",0.0107412927419379,0.0430802294109885,0.104783075465279,9.46315890470004,-47.5765194519627,-3.28838253058784,-0.232967955365946,-1.43633087880572,-0.730174219290741
"SL18-LD-3",0.0166422338984771,0.115262039115123,-0.209308503886329,17.8834299168125,-20.083829672732,-0.877807215866422,-0.112993399736447,-1.21490312145473,-0.328882130439397
"SL18-LD-4",0.0259926532406259,0.170445715891301,-0.221467026468679,19.5573399497739,-11.290745332594,-1.15224638558046,-0.100131869724384,-0.701768070667852,-0.233956658240573
"SL18-LD-5",0.00992818964706678,0.0609226552383908,-0.140790339615456,18.5618691942195,-28.2831111387624,-0.197294540071838,-0.0690772766276511,-1.43667531806803,-0.0409018644904758
