Sample ID,Name_InPheno,Name_InGeno,Chosen Reason,Plate,Location,Region,Parent
SL-FI-1-FG-3,SL18-FI-1-FG3,SL18-FI-1-FG3,Diversity,3,FI,SNE,SL18-FI-1
SL-FI-1-FG-13,SL18-FI-1-FG13,SL18-FI-1-FG13,Diversity,3,FI,SNE,SL18-FI-1
SL-PI-1-FG-1,SL18-PI-1-FG1,SL18-PI-1-FG1,Diversity,3,PI,SNE,SL18-PI-1
SL-PI-1-FG-3,SL18-PI-1-FG3,SL18-PI-1-FG3,Diversity,3,PI,SNE,SL18-PI-1
SL-CC-3-FG-1,SL18-CC-3-FG1,SL18-CC-3-FG1,Diversity,3,CC,GOM,SL18-CC-3
SL-CC-3-FG-2,SL18-CC-3-FG2,SL18-CC-3-FG2,Diversity,3,CC,GOM,SL18-CC-3
SL-CC-3-FG-3,SL18-CC-3-FG3,SL18-CC-3-FG3,Diversity,3,CC,GOM,SL18-CC-3
SL-CC-5-FG-2,SL18-CC-5-FG2,SL18-CC-5-FG2,Diversity,3,CC,GOM,SL18-CC-5
SL-CC-5-FG-3,SL18-CC-5-FG3,SL18-CC-5-FG3,Diversity,3,CC,GOM,SL18-CC-5
SL-CC-8-FG-1,SL18-CC-8-FG1,SL18-CC-8-FG1,Diversity,3,CC,GOM,SL18-CC-8
SL-CC-12-FG-2,SL18-CC-12-FG2,SL18-CC-12-FG2,Diversity,3,CC,GOM,SL18-CC-12
SL-CC-12-FG-3,SL18-CC-12-FG3,SL18-CC-12-FG3,Diversity,3,CC,GOM,SL18-CC-12
SA-CB-2-FG-3,SA18-CB-2-FG3,SA18-CB-2-FG3,Diversity,3,CB,GOM,SA18-CB-2
SA-CB-4-FG-6,SA18-CB-4-FG6,SA18-CB-4-FG6,Diversity,3,CB,GOM,SA18-CB-4
SL-JS-6-FG-3,SL18-JS-6-FG3,SL18-JS-6-FG3,Diversity,3,JS,GOM,SL18-JS-6
SL-JS-9-FG-2,SL18-JS-9-FG2,SL18-JS-9-FG2,Biomass,3,JS,GOM,SL18-JS-9
SL-JS-9-FG-3,SL18-JS-9-FG3,SL18-JS-9-FG3,Biomass,3,JS,GOM,SL18-JS-9
SL-JS-16-FG-3,SL18-JS-16-FG3,SL18-JS-16-FG3,Diversity,3,JS,GOM,SL18-JS-16
SL-JS-19-FG-3,SL18-JS-19-FG3,SL18-JS-19-FG3,Biomass,3,JS,GOM,SL18-JS-19
