GametophyteID,Keeper,Site,Sex,Location,# Crosses,Parent,Tray_Number_atUCONN,Total_biomass,# Clean,# Green,Generation
SL18-PI-1-MG5,WHOI,SNE,M,PI,4,SL18-PI-1,,M,x,NA,GP
SL18-NL-5-MG5,WHOI,GOM,M,NL,4,SL18-NL-5,,M,x,NA,GP
SA18-CB-10-FG6,WHOI,GOM,F,CB,5,SA18-CB-10,,H,x,NA,GP
SL18-TI-2-MG5,WHOI,SNE,M,TI,3,SL18-TI-2,,M,x,NA,GP
SL18-LD-2-FG5,WHOI,GOM,F,LD,5,SL18-LD-2,,H,x,NA,GP
SL18-CC-9-FG6,WHOI,GOM,F,CC,4,SL18-CC-9,,M,x,NA,GP
SL18-LD-3-MG6,WHOI,GOM,M,LD,3,SL18-LD-3,,M,x,NA,GP
SL18-JS-19-FG3,WHOI,GOM,F,JS,3,SL18-JS-19,,M,x,NA,GP
SL18-OI-15-FG4,WHOI,GOM,F,OI,10,SL18-OI-15,,H,x,NA,GP
SL18-OI-5-MG4,WHOI,GOM,M,OI,4,SL18-OI-5,,M,x,NA,GP
SL18-UCONN-S142-FG1,UCONN,GOM,F,Farm,4,SL18-UCONN-S142,,H,x,NA,SP_GP
SL18-UCONN-S142-FG2,UCONN,GOM,F,Farm,4,SL18-UCONN-S142,,H,x,NA,SP_GP
SL18-UCONN-S142-FG3,UCONN,GOM,F,Farm,4,SL18-UCONN-S142,,H,x,NA,SP_GP
SL18-UCONN-S142-MG1,UCONN,GOM,M,Farm,2,SL18-UCONN-S142,,M,x,NA,SP_GP
SL18-UCONN-S142-MG2,UCONN,GOM,M,Farm,2,SL18-UCONN-S142,,M,x,NA,SP_GP
SL18-UCONN-S142-MG3,UCONN,GOM,M,Farm,3,SL18-UCONN-S142,,M,x,NA,SP_GP
SL18-UCONN-S143-FG1,UCONN,GOM,F,Farm,2,SL18-UCONN-S143,,M,x,NA,SP_GP
SL18-UCONN-S143-FG2,UCONN,GOM,F,Farm,4,SL18-UCONN-S143,,H,x,NA,SP_GP
SL18-UCONN-S143-FG3,UCONN,GOM,F,Farm,4,SL18-UCONN-S143,,H,x,NA,SP_GP
SL18-UCONN-S143-MG1,UCONN,GOM,M,Farm,2,SL18-UCONN-S143,,L,x,NA,SP_GP
SL18-UCONN-S143-MG2,UCONN,GOM,M,Farm,5,SL18-UCONN-S143,,H,x,NA,SP_GP
SL18-UCONN-S143-MG3,UCONN,GOM,M,Farm,4,SL18-UCONN-S143,,H,x,NA,SP_GP
SL18-UCONN-S157-FG1,UCONN,GOM,F,Farm,3,SL18-UCONN-S157,,M,x,NA,SP_GP
SL18-UCONN-S157-FG2,UCONN,GOM,F,Farm,3,SL18-UCONN-S157,,M,x,NA,SP_GP
SL18-UCONN-S157-FG3,UCONN,GOM,F,Farm,3,SL18-UCONN-S157,,M,x,NA,SP_GP
SL18-UCONN-S157-MG1,UCONN,GOM,M,Farm,4,SL18-UCONN-S157,,H,x,NA,SP_GP
SL18-UCONN-S157-MG2,UCONN,GOM,M,Farm,4,SL18-UCONN-S157,,H,x,NA,SP_GP
SL18-UCONN-S157-MG3,UCONN,GOM,M,Farm,2,SL18-UCONN-S157,,M,x,NA,SP_GP
SL18-UCONN-S158-FG1,UCONN,GOM,F,Farm,4,SL18-UCONN-S158,,H,x,NA,SP_GP
SL18-UCONN-S158-FG2,UCONN,GOM,F,Farm,3,SL18-UCONN-S158,,M,x,NA,SP_GP
SL18-UCONN-S158-FG3,UCONN,GOM,F,Farm,2,SL18-UCONN-S158,,M,x,NA,SP_GP
SL18-UCONN-S158-MG1,UCONN,GOM,M,Farm,2,SL18-UCONN-S158,,L,x,NA,SP_GP
SL18-UCONN-S158-MG2,UCONN,GOM,M,Farm,NA,SL18-UCONN-S158,,-,x,NA,SP_GP
SL18-UCONN-S158-MG3,UCONN,GOM,M,Farm,4,SL18-UCONN-S158,,H,x,NA,SP_GP
SL18-UCONN-S2-FG1,UCONN,GOM,F,Farm,4,SL18-UCONN-S2,,H,x,NA,SP_GP
SL18-UCONN-S2-FG2,UCONN,GOM,F,Farm,2,SL18-UCONN-S2,,L,x,NA,SP_GP
SL18-UCONN-S2-FG3,UCONN,GOM,F,Farm,4,SL18-UCONN-S2,,H,x,NA,SP_GP
SL18-UCONN-S2-MG1,UCONN,GOM,M,Farm,2,SL18-UCONN-S2,,M,x,NA,SP_GP
SL18-UCONN-S2-MG2,UCONN,GOM,M,Farm,2,SL18-UCONN-S2,,M,x,NA,SP_GP
SL18-UCONN-S2-MG3,UCONN,GOM,M,Farm,4,SL18-UCONN-S2,,H,x,NA,SP_GP
SL18-UCONN-S32-FG1,UCONN,GOM,F,Farm,2,SL18-UCONN-S32,,M,x,NA,SP_GP
SL18-UCONN-S32-FG2,UCONN,GOM,F,Farm,3,SL18-UCONN-S32,,M,x,NA,SP_GP
SL18-UCONN-S32-FG3,UCONN,GOM,F,Farm,2,SL18-UCONN-S32,,M,x,NA,SP_GP
SL18-UCONN-S32-MG1,UCONN,GOM,M,Farm,3,SL18-UCONN-S32,,M,x,NA,SP_GP
SL18-UCONN-S32-MG2,UCONN,GOM,M,Farm,3,SL18-UCONN-S32,,M,x,NA,SP_GP
SL18-UCONN-S32-MG3,UCONN,GOM,M,Farm,1,SL18-UCONN-S32,,L,x,NA,SP_GP
SL18-UCONN-S4-FG1,UCONN,GOM,F,Farm,2,SL18-UCONN-S4,,M,x,NA,SP_GP
SL18-UCONN-S4-FG2,UCONN,GOM,F,Farm,1,SL18-UCONN-S4,,L,x,NA,SP_GP
SL18-UCONN-S4-FG3,UCONN,GOM,F,Farm,1,SL18-UCONN-S4,,L,x,NA,SP_GP
SL18-UCONN-S4-MG1,UCONN,GOM,M,Farm,NA,SL18-UCONN-S4,,-,x,NA,SP_GP
SL18-UCONN-S4-MG2,UCONN,GOM,M,Farm,2,SL18-UCONN-S4,,M,x,NA,SP_GP
SL18-UCONN-S4-MG3,UCONN,GOM,M,Farm,3,SL18-UCONN-S4,,M,x,NA,SP_GP
SL18-UCONN-S57-FG1,UCONN,GOM,F,Farm,3,SL18-UCONN-S57,,M,x,NA,SP_GP
SL18-UCONN-S57-FG2,UCONN,GOM,F,Farm,3,SL18-UCONN-S57,,M,x,NA,SP_GP
SL18-UCONN-S57-FG3,UCONN,GOM,F,Farm,3,SL18-UCONN-S57,,M,x,NA,SP_GP
SL18-UCONN-S57-MG1,UCONN,GOM,M,Farm,3,SL18-UCONN-S57,,M,x,NA,SP_GP
SL18-UCONN-S57-MG2,UCONN,GOM,M,Farm,NA,SL18-UCONN-S57,,-,x,NA,SP_GP
SL18-UCONN-S57-MG3,UCONN,GOM,M,Farm,NA,SL18-UCONN-S57,,-,x,NA,SP_GP
SL18-UCONN-S5-FG1,UCONN,GOM,F,Farm,2,SL18-UCONN-S5,,L,x,NA,SP_GP
SL18-UCONN-S5-FG2,UCONN,GOM,F,Farm,NA,SL18-UCONN-S5,,-,x,NA,SP_GP
SL18-UCONN-S5-FG3,UCONN,GOM,F,Farm,2,SL18-UCONN-S5,,L,x,NA,SP_GP
SL18-UCONN-S5-MG1,UCONN,GOM,M,Farm,5,SL18-UCONN-S5,,L,x,NA,SP_GP
SL18-UCONN-S5-MG2,UCONN,GOM,M,Farm,1,SL18-UCONN-S5,,L,x,NA,SP_GP
SL18-UCONN-S5-MG3,UCONN,GOM,M,Farm,0,SL18-UCONN-S5,,L,x,NA,SP_GP
SL18-UCONN-S73-FG1,UCONN,GOM,F,Farm,2,SL18-UCONN-S73,,M,x,NA,SP_GP
SL18-UCONN-S73-FG2,UCONN,GOM,F,Farm,2,SL18-UCONN-S73,,M,x,NA,SP_GP
SL18-UCONN-S73-FG3,UCONN,GOM,F,Farm,2,SL18-UCONN-S73,,M,x,NA,SP_GP
SL18-UCONN-S73-MG1,UCONN,GOM,M,Farm,3,SL18-UCONN-S73,,M,x,NA,SP_GP
SL18-UCONN-S73-MG2,UCONN,GOM,M,Farm,4,SL18-UCONN-S73,,H,x,NA,SP_GP
SL18-UCONN-S73-MG3,UCONN,GOM,M,Farm,5,SL18-UCONN-S73,,H,x,NA,SP_GP
SL18-UCONN-S78-FG1,UCONN,GOM,F,Farm,4,SL18-UCONN-S78,,H,x,NA,SP_GP
SL18-UCONN-S78-FG2,UCONN,GOM,F,Farm,1,SL18-UCONN-S78,,L,x,NA,SP_GP
SL18-UCONN-S78-FG3,UCONN,GOM,M,Farm,0,SL18-UCONN-S78,,L,x,NA,SP_GP
SL18-UCONN-S78-MG1,UCONN,GOM,M,Farm,3,SL18-UCONN-S78,,M,x,NA,SP_GP
SL18-UCONN-S78-MG2,UCONN,GOM,M,Farm,3,SL18-UCONN-S78,,M,x,NA,SP_GP
SL18-UCONN-S78-MG3,UCONN,GOM,M,Farm,2,SL18-UCONN-S78,,M,x,NA,SP_GP
SL18-UCONN-S94-FG1,UCONN,GOM,F,Farm,5,SL18-UCONN-S94,,H,x,NA,SP_GP
SL18-UCONN-S94-FG2,UCONN,GOM,F,Farm,5,SL18-UCONN-S94,,H,x,NA,SP_GP
SL18-UCONN-S94-FG3,UCONN,GOM,F,Farm,5,SL18-UCONN-S94,,H,x,NA,SP_GP
SL18-UCONN-S94-MG1,UCONN,GOM,M,Farm,4,SL18-UCONN-S94,,M,x,NA,SP_GP
SL18-UCONN-S94-MG2,UCONN,GOM,M,Farm,2,SL18-UCONN-S94,,M,x,NA,SP_GP
SL18-UCONN-S94-MG3,UCONN,GOM,M,Farm,NA,SL18-UCONN-S94,,-,x,NA,SP_GP
SL18-UCONN-S11-FG1,UCONN,GOM,F,Farm,2,SL18-UCONN-S11,,M,x,NA,SP_GP
SL18-UCONN-S11-FG2,UCONN,GOM,F,Farm,1,SL18-UCONN-S11,,L,x,NA,SP_GP
SL18-UCONN-S11-FG3,UCONN,GOM,F,Farm,1,SL18-UCONN-S11,,L,x,NA,SP_GP
SL18-OI-2-MG2,UCONN,,M,,3,,37,,,,
SL18-OI-4-MG3,UCONN,,M,,3,,37,,,,
SL18-NC-1-MG1,UCONN,,M,,2,,37,,,,
SL18-NC-5-MG1,UCONN,,M,,3,,37,,,,
SL18-NC-15-MG4,UCONN,,M,,3,,37,,,,
SL18-PI-1-MG1,UCONN,,M,,4,,37,,,,
SL18-BL-13-MG3,UCONN,,M,,1,,37,,,,
SL18-BL-16-MG3,UCONN,,M,,2,,37,,,,
SL18-BL-17-MG3,UCONN,,M,,1,,37,,,,
SL18-NC-8-MG3,UCONN,,M,,0,,37,,,,
SL18-JS-5-MG1,UCONN,,M,,0,,36,,,,
SL18-JS-6-MG2,UCONN,,M,,2,,36,,,,
SL18-JS-19-MG2,UCONN,,M,,0,,36,,,,
SL18-LD-2-MG3,UCONN,,M,,2,,36,,,,
SL18-LD-9-MG1,UCONN,,M,,2,,36,,,,
SL18-TI-1-MG2,UCONN,,M,,2,,36,,,,
SL18-TI-2-MG3,UCONN,,M,,2,,36,,,,
SL18-TI-3-MG1,UCONN,,M,,1,,36,,,,
SL18-TI-5-MG3,UCONN,,M,,1,,36,,,,
SL18-CB-7-MG3,UCONN,,M,,2,,35,,,,
SL18-CB-10-MG3,UCONN,,M,,2,,35,,,,
SL18-JS-6-MG3,UCONN,,M,,2,,35,,,,
SL18-OI-4-MG2,UCONN,,M,,3,,35,,,,
SL18-OI-5-MG2,UCONN,,M,,2,,35,,,,
SL18-OI-5-MG3,UCONN,,M,,2,,35,,,,
SL18-OI-7-MG1,UCONN,,M,,2,,35,,,,
SL18-OI-7-MG2,UCONN,,M,,3,,35,,,,
SA18-CB-1-MG11,UCONN,,M,,0,,38,,,,
SA18-CB-1-MG13,UCONN,,M,,2,,38,,,,
SA18-CB-2-MG2,UCONN,,M,,1,,38,,,,
SA18-CB-3-MG3,UCONN,,M,,2,,38,,,,
SA18-CB-4-MG1,UCONN,,M,,1,,38,,,,
SA18-CB-4-MG3,UCONN,,M,,2,,38,,,,
SA18-CB-5-MG3,UCONN,,M,,2,,38,,,,
SA18-CB-7-MG1,UCONN,,M,,2,,38,,,,
SA18-CB-10-MG1,UCONN,,M,,2,,38,,,,
SL18-CC-9-MG4,UCONN,,M,,1,,38,,,,
SL18-OD-3-MG2,UCONN,,M,,1,,OD,,,,
SL18-OD-6-MG1,UCONN,,M,,2,,OD,,,,
SL18-OD-6-MG2,UCONN,,M,,2,,OD,,,,
SL18-OD-6-MG3,UCONN,,M,,3,,OD,,,,
SL18-OD-10-MG1,UCONN,,M,,1,,OD,,,,
SL18-OD-10-MG2,UCONN,,M,,1,,OD,,,,
SL18-FI-1-FG3,UCONN,,F,,0,,BMT,,,,
SA18-CB-2-FG3,UCONN,,F,,1,,BMT,,,,
SL18-NC-2-FG3,UCONN,,F,,0,,BMT,,,,
SL18-NC-10-FG3,UCONN,,F,,0,,BMT,,,,
SL18-NC-11-FG1,UCONN,,F,,0,,BMT,,,,
SL18-NL-7-FG3,UCONN,,F,,0,,BMT,,,,
SL18-PI-1-FG1,UCONN,,F,,1,,BMT,,,,
SL18-BL-11-FG1,UCONN,,F,,2,,40,,,,
SL18-BL-11-FG2,UCONN,,F,,2,,40,,,,
SL18-BL-12-FG1,UCONN,,F,,2,,40,,,,
SL18-BL-17-FG3,UCONN,,F,,2,,40,,,,
SL18-NL-5-FG3,UCONN,,F,,2,,40,,,,
SL18-OI-17-FG4,UCONN,,F,,1,,40,,,,
SL18-TI-4-FG2,UCONN,,F,,1,,40,,,,
SL18-BL-11-FG3,UCONN,,F,,1,,41,,,,
SL18-BL-12-FG2,UCONN,,F,,0,,41,,,,
SL18-BL-17-FG2,UCONN,,F,,0,,41,,,,
SL18-LL-9-FG1,UCONN,,F,,1,,41,,,,
SL18-LL-9-FG2,UCONN,,F,,0,,41,,,,
SL18-NC-9-FG2,UCONN,,F,,0,,41,,,,
SL18-NC-9-FG3,UCONN,,F,,0,,41,,,,
SL18-NC-12-FG1,UCONN,,F,,1,,41,,,,
