GametophyteID,Keeper,Site,Sex,Location,# Crosses,Parent,Tray_Number_atUCONN,Total_biomass,# Clean,# Green,Generation
SL18-JS-6-MG1,UCONN,GOM,M,JS,5,SL18-JS-6,10,H,x,NA,GP
SL18-JS-6-MG3,UCONN,GOM,M,JS,0,SL18-JS-6,10,NA,x,NA,GP
SL18-JS-9-MG1,UCONN,GOM,M,JS,5,SL18-JS-9,10,H,x,NA,GP
SL18-JS-9-MG2,UCONN,GOM,M,JS,5,SL18-JS-9,10,H,x,NA,GP
SL18-JS-9-MG3,UCONN,GOM,M,JS,5,SL18-JS-9,10,H,x,NA,GP
SL18-JS-11-MG2,UCONN,GOM,M,JS,5,SL18-JS-11,10,H,x,NA,GP
SL18-JS-11-MG3,UCONN,GOM,M,JS,5,SL18-JS-11,10,H,x,NA,GP
SL18-JS-5-MG2,UCONN,GOM,M,JS,4,SL18-JS-5,11,M,x,NA,GP
SL18-JS-16-MG1,UCONN,GOM,M,JS,5,SL18-JS-16,11,H,x,NA,GP
SL18-JS-16-MG2,UCONN,GOM,M,JS,4,SL18-JS-16,11,H,x,NA,GP
SL18-JS-19-MG1,UCONN,GOM,M,JS,5,SL18-JS-19,11,H,x,NA,GP
SL18-TI-1-MG1,UCONN,SNE,M,TI,5,SL18-TI-1,12,H,x,NA,GP
SL18-TI-1-MG2,UCONN,SNE,M,TI,0,SL18-TI-1,12,NA,x,NA,GP
SL18-TI-1-MG3,UCONN,SNE,M,TI,5,SL18-TI-1,12,H,x,NA,GP
SL18-TI-1-MG4,UCONN,SNE,M,TI,5,SL18-TI-1,12,H,x,NA,GP
SL18-TI-1-MG11,UCONN,SNE,M,TI,5,SL18-TI-1,12,H x 2,x,NA,GP
SL18-TI-2-MG1,UCONN,SNE,M,TI,5,SL18-TI-2,12,H,x,NA,GP
SL18-TI-2-MG2,UCONN,SNE,M,TI,5,SL18-TI-2,12,H,x,NA,GP
SL18-TI-2-MG3,UCONN,SNE,M,TI,0,SL18-TI-2,12,NA,x,NA,GP
SL18-TI-2-MG11,UCONN,SNE,M,TI,0,SL18-TI-2,12,NA,x,NA,GP
SL18-TI-3-MG2,UCONN,SNE,M,TI,5,SL18-TI-3,13,H,x,NA,GP
SL18-TI-3-MG3,UCONN,SNE,M,TI,5,SL18-TI-3,13,H,x,NA,GP
SL18-TI-3-MG11,UCONN,SNE,M,TI,1,SL18-TI-3,13,L,x,NA,GP
SL18-TI-3-MG14,UCONN,SNE,M,TI,5,SL18-TI-3,13,H,x,NA,GP
SL18-TI-4-MG1,UCONN,SNE,M,TI,4,SL18-TI-4,13,M,x,NA,GP
SL18-TI-4-MG2,UCONN,SNE,M,TI,5,SL18-TI-4,13,H,x,NA,GP
SL18-TI-4-MG3,UCONN,SNE,M,TI,5,SL18-TI-4,13,H,x,NA,GP
SL18-TI-5-MG1,UCONN,SNE,M,TI,5,SL18-TI-5,13,H,x,NA,GP
SL18-TI-5-MG2,UCONN,SNE,M,TI,5,SL18-TI-5,13,H,x,NA,GP
SL18-NL-3-MG1,UCONN,GOM,M,NL,5,SL18-NL-3,14,H,x,NA,GP
SL18-NL-6-MG1,UCONN,GOM,M,NL,5,SL18-NL-6,14,H,x,NA,GP
SL18-NL-6-MG2,UCONN,GOM,M,NL,5,SL18-NL-6,14,H,x,NA,GP
SL18-NL-6-MG3,UCONN,GOM,M,NL,5,SL18-NL-6,14,H,x,NA,GP
SL18-SF-13-MG1,UCONN,GOM,M,SF,5,SL18-SF-13,14,H,x,NA,GP
SL18-SF-13-MG13,UCONN,GOM,M,SF,4,SL18-SF-13,14,H,x,NA,GP
SL18-TI-6-MG1,UCONN,SNE,M,TI,5,SL18-TI-6,14,H,x,NA,GP
SL18-TI-6-MG2,UCONN,SNE,M,TI,5,SL18-TI-6,14,H,x,NA,GP
SL18-TI-6-MG3,UCONN,SNE,M,TI,5,SL18-TI-6,14,H,x,NA,GP
SL18-CC-1-MG2,UCONN,GOM,M,CC,5,SL18-CC-1,15,H,x,NA,GP
SL18-CC-1-MG11,UCONN,GOM,M,CC,5,SL18-CC-1,15,H,x,NA,GP
SL18-CC-4-MG11,UCONN,GOM,M,CC,5,SL18-CC-4,15,H,x,NA,GP
SL18-CC-6-MG2,UCONN,GOM,M,CC,5,SL18-CC-6,15,H,x,NA,GP
SL18-CC-6-MG11,UCONN,GOM,M,CC,5,SL18-CC-6,15,H,x,NA,GP
SL18-CC-7-MG1,UCONN,GOM,M,CC,5,SL18-CC-7,15,H,x,NA,GP
SL18-CC-7-MG2,UCONN,GOM,M,CC,5,SL18-CC-7,15,H,x,NA,GP
SL18-CC-8-MG3,UCONN,GOM,M,CC,5,SL18-CC-8,15,H x 2,x,NA,GP
SL18-CC-1-MG3,UCONN,GOM,M,CC,5,SL18-CC-1,16,H,x,NA,GP
SL18-CC-2-MG6,UCONN,GOM,M,CC,5,SL18-CC-2,16,H,x,NA,GP
SL18-CC-3-MG1,UCONN,GOM,M,CC,5,SL18-CC-3,16,H,x,NA,GP
SL18-CC-8-MG3,UCONN,GOM,M,CC,0,SL18-CC-8,16,NA,x,NA,GP
SL18-CC-9-MG3,UCONN,GOM,M,CC,4,SL18-CC-9,16,H,x,NA,GP
SL18-CC-11-MG6,UCONN,GOM,M,CC,5,SL18-CC-11,16,H,x,NA,GP
SL18-NL-2-MG1,UCONN,GOM,M,NL,5,SL18-NL-2,17,H,x,NA,GP
SL18-NL-2-MG2,UCONN,GOM,M,NL,5,SL18-NL-2,17,H,x,NA,GP
SL18-NL-2-MG3,UCONN,GOM,M,NL,5,SL18-NL-2,17,H,x,NA,GP
SL18-NL-5-MG1,UCONN,GOM,M,NL,3,SL18-NL-5,17,M,x,NA,GP
SL18-NL-5-MG2,UCONN,GOM,M,NL,5,SL18-NL-5,17,H,x,NA,GP
