"","Indiv","Trait","Sex","Born","Breed","isCandidate","Age","Class","c0","c1","lb","oc","ub","Ne","oc_using_AshFDWpM","AshFDWpM","oc_using_DWpM","DWpM","loc","Region"
"SA18-CB-4-FG32","SA18-CB-4-FG3",0.0780214583649305,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000143828465977022,0.999999999320068,"Ne60",0.000000143828465977022,0.0780214583649305,0.000000143828465977022,0.0780214583649305,"CB","GOM"
"SL18-LD-2-FG22","SL18-LD-2-FG2",-0.0460692995842171,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000551412073234271,0.999999999320068,"Ne60",0.000000551412073234271,-0.0460692995842171,0.000000551412073234271,-0.0460692995842171,"LD","GOM"
"SL18-LD-3-FG12","SL18-LD-3-FG1",-0.0155377408761204,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000101592392991697,0.999999999320068,"Ne60",0.00000101592392991697,-0.0155377408761204,0.00000101592392991697,-0.0155377408761204,"LD","GOM"
"SL18-LD-3-FG22","SL18-LD-3-FG2",0.0129172948812176,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000831847432853443,0.999999999320068,"Ne60",0.00000831847432853443,0.0129172948812176,0.00000831847432853443,0.0129172948812176,"LD","GOM"
"SL18-LD-4-FG32","SL18-LD-4-FG3",0.00748211455922718,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00250386444188887,0.999999999320068,"Ne60",0.00250386444188887,0.00748211455922718,0.00250386444188887,0.00748211455922718,"LD","GOM"
"SA18-CB-7-FG12","SA18-CB-7-FG1",0.174607723104919,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00514522432003716,0.999999999320068,"Ne60",0.00514522432003716,0.174607723104919,0.00514522432003716,0.174607723104919,"CB","GOM"
"SL18-LD-9-FG22","SL18-LD-9-FG2",0.00279228361404851,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00000757847536592801,0.999999999320068,"Ne60",0.00000757847536592801,0.00279228361404851,0.00000757847536592801,0.00279228361404851,"LD","GOM"
"SL18-LD-9-FG32","SL18-LD-9-FG3",0.0164988252275856,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000979937908296083,0.999999999320068,"Ne60",0.000979937908296083,0.0164988252275856,0.000979937908296083,0.0164988252275856,"LD","GOM"
"SL18-LL-9-FG32","SL18-LL-9-FG3",-0.0529216087081129,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000189712806207786,0.999999999320068,"Ne60",0.000000189712806207786,-0.0529216087081129,0.000000189712806207786,-0.0529216087081129,"LL","GOM"
"SL18-NL-10-FG12","SL18-NL-10-FG1",-0.0277644893601029,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000169715408015881,0.999999999320068,"Ne60",0.000169715408015881,-0.0277644893601029,0.000169715408015881,-0.0277644893601029,"NL","GOM"
"SL18-NL-2-FG12","SL18-NL-2-FG1",-0.00512114511690464,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00794649695704022,0.999999999320068,"Ne60",0.00794649695704022,-0.00512114511690464,0.00794649695704022,-0.00512114511690464,"NL","GOM"
"SL18-NL-2-FG32","SL18-NL-2-FG3",-0.0774296107808457,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000542420480639226,0.999999999320068,"Ne60",0.000000542420480639226,-0.0774296107808457,0.000000542420480639226,-0.0774296107808457,"NL","GOM"
"SL18-NL-3-FG12","SL18-NL-3-FG1",-0.0770857729477639,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000203881576570417,0.999999999320068,"Ne60",0.000000203881576570417,-0.0770857729477639,0.000000203881576570417,-0.0770857729477639,"NL","GOM"
"SL18-NL-3-FG32","SL18-NL-3-FG3",-0.0185869057748473,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00453230239572761,0.999999999320068,"Ne60",0.00453230239572761,-0.0185869057748473,0.00453230239572761,-0.0185869057748473,"NL","GOM"
"SL18-OI-11-FG32","SL18-OI-11-FG3",0.0429057172696838,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00405784464018194,0.999999999320068,"Ne60",0.00405784464018194,0.0429057172696838,0.00405784464018194,0.0429057172696838,"OI","GOM"
"SL18-JS-16-FG32","SL18-JS-16-FG3",-0.113994107522581,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000129805623417494,0.999999999320068,"Ne60",0.000000129805623417494,-0.113994107522581,0.000000129805623417494,-0.113994107522581,"JS","GOM"
"SL18-CC-1-FG22","SL18-CC-1-FG2",0.0731670685393831,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0106892681042613,0.999999999320068,"Ne60",0.0106892681042613,0.0731670685393831,0.0106892681042613,0.0731670685393831,"CC","GOM"
"SL18-CC-5-FG22","SL18-CC-5-FG2",0.0305294224591645,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0017275918388176,0.999999999320068,"Ne60",0.0017275918388176,0.0305294224591645,0.0017275918388176,0.0305294224591645,"CC","GOM"
"SL18-CC-5-FG32","SL18-CC-5-FG3",0.00709042915029015,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00388607304746763,0.999999999320068,"Ne60",0.00388607304746763,0.00709042915029015,0.00388607304746763,0.00709042915029015,"CC","GOM"
"SL18-JS-16-FG12","SL18-JS-16-FG1",-0.137673928551262,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0000000699853386194937,0.999999999320068,"Ne60",0.0000000699853386194937,-0.137673928551262,0.0000000699853386194937,-0.137673928551262,"JS","GOM"
"SL18-NC-12-FG22","SL18-NC-12-FG2",-0.135608774428131,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000118011472032717,0.999999999320068,"Ne60",0.000000118011472032717,-0.135608774428131,0.000000118011472032717,-0.135608774428131,"NC","GOM"
"SL18-OD-5-FG12","SL18-OD-5-FG1",-0.0784821939641856,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000441218854889561,0.999999999320068,"Ne60",0.000000441218854889561,-0.0784821939641856,0.000000441218854889561,-0.0784821939641856,"OD","GOM"
"SA18-CB-9-FG12","SA18-CB-9-FG1",0.0840595197332083,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.018570622545649,0.999999999320068,"Ne60",0.018570622545649,0.0840595197332083,0.018570622545649,0.0840595197332083,"CB","GOM"
"SL18-CC-5-FG12","SL18-CC-5-FG1",-0.0531360038521938,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000171118414484564,0.999999999320068,"Ne60",0.000000171118414484564,-0.0531360038521938,0.000000171118414484564,-0.0531360038521938,"CC","GOM"
"SL18-CC-12-FG32","SL18-CC-12-FG3",0.0957535996401192,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000792187036217362,0.999999999320068,"Ne60",0.000792187036217362,0.0957535996401192,0.000792187036217362,0.0957535996401192,"CC","GOM"
"SL18-SF-17-FG22","SL18-SF-17-FG2",0.0493269617591294,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00517983229034538,0.999999999320068,"Ne60",0.00517983229034538,0.0493269617591294,0.00517983229034538,0.0493269617591294,"SF","GOM"
"SL18-JS-5-FG12","SL18-JS-5-FG1",-0.132409370809606,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0000000847811925001119,0.999999999320068,"Ne60",0.0000000847811925001119,-0.132409370809606,0.0000000847811925001119,-0.132409370809606,"JS","GOM"
"SA18-CB-2-FG32","SA18-CB-2-FG3",0.0857694866443935,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0148716251717152,0.999999999320068,"Ne60",0.0148716251717152,0.0857694866443935,0.0148716251717152,0.0857694866443935,"CB","GOM"
"SL18-CC-3-FG12","SL18-CC-3-FG1",0.144877597899526,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.00888937023402574,0.999999999320068,"Ne60",0.00888937023402574,0.144877597899526,0.00888937023402574,0.144877597899526,"CC","GOM"
"SL18-NC-10-FG12","SL18-NC-10-FG1",-0.143538285021361,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0000000773344287441061,0.999999999320068,"Ne60",0.0000000773344287441061,-0.143538285021361,0.0000000773344287441061,-0.143538285021361,"NC","GOM"
"SL18-OI-17-FG42","SL18-OI-17-FG4",0.0603361823333376,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0119090846200189,0.999999999320068,"Ne60",0.0119090846200189,0.0603361823333376,0.0119090846200189,0.0603361823333376,"OI","GOM"
"SL18-CC-3-FG22","SL18-CC-3-FG2",0.213670673206668,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0264741540553744,0.999999999320068,"Ne60",0.0264741540553744,0.213670673206668,0.0264741540553744,0.213670673206668,"CC","GOM"
"SL18-CC-1-FG12","SL18-CC-1-FG1",-0.00696169848468867,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000272842511055432,0.999999999320068,"Ne60",0.000000272842511055432,-0.00696169848468867,0.000000272842511055432,-0.00696169848468867,"CC","GOM"
"SL18-OI-6-FG22","SL18-OI-6-FG2",0.202631012090776,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0311840390004994,0.999999999320068,"Ne60",0.0311840390004994,0.202631012090776,0.0311840390004994,0.202631012090776,"OI","GOM"
"SL18-CC-12-FG22","SL18-CC-12-FG2",0.230029894826723,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0376046120330479,0.999999999320068,"Ne60",0.0376046120330479,0.230029894826723,0.0376046120330479,0.230029894826723,"CC","GOM"
"SL18-NC-10-FG32","SL18-NC-10-FG3",-0.125504904166927,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000139509977187435,0.999999999320068,"Ne60",0.000000139509977187435,-0.125504904166927,0.000000139509977187435,-0.125504904166927,"NC","GOM"
"SL18-CC-8-FG12","SL18-CC-8-FG1",-0.0976637157144551,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0000000636374792279646,0.999999999320068,"Ne60",0.0000000636374792279646,-0.0976637157144551,0.0000000636374792279646,-0.0976637157144551,"CC","GOM"
"SL18-NC-5-FG22","SL18-NC-5-FG2",-0.0963426564369162,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.000000119239076924242,0.999999999320068,"Ne60",0.000000119239076924242,-0.0963426564369162,0.000000119239076924242,-0.0963426564369162,"NC","GOM"
"SL18-CC-6-FG32","SL18-CC-6-FG3",-0.0736524180876544,"female",1,"missing",TRUE,1,"missing.Age1.female",0.00257731958762887,0,0,0.0000000719913088216704,0.999999999320068,"Ne60",0.0000000719913088216704,-0.0736524180876544,0.0000000719913088216704,-0.0736524180876544,"CC","GOM"
