"","V1","V2"
"453","SA18-CB-2-FG3xSL18-NC-9-MG1","CrossesSL18-NL-3-FG1xSL18-OD-3-MG1"
"454","SA18-CB-5-FG4xSL18-CC-1-MG3","CrossesSL18-NL-3-FG1xSL18-OI-11-MG2"
"455","SL18-CC-3-FG1xSL18-JS-6-MG3","CrossesSL18-NL-3-FG1xSL18-OI-7-MG3"
"456","SL18-JS-16-FG1xSL18-LD-2-MG2","CrossesSL18-NL-3-FG1xSL18-SF-13-MG2"
"457","SL18-NC-10-FG1xSL18-NC-5-MG1","CrossesSL18-NL-3-FG2xSL18-SF-17-MG2"
"458","SL18-OI-17-FG4xSL18-JS-6-MG2","CrossesSL18-NL-3-FG3xSA18-CB-2-MG2"
"459","SL18-CC-1-FG2xSL18-OI-16-MG3","CrossesSL18-NL-3-FG3xSL18-NC-9-MG2"
"460","SA18-CB-2-FG3xSL18-OI-2-MG2","CrossesSL18-NL-5-FG1xSL18-OI-14-MG1"
"461","SL18-CC-5-FG3xSL18-JS-19-MG2","CrossesSL18-NL-6-FG1xSA18-CB-3-MG3"
"462","SL18-CC-3-FG2xSA18-CB-10-MG3","CrossesSL18-NL-6-FG1xSA18-CB-7-MG2"
"463","SL18-CC-1-FG1xSL18-OI-16-MG3","CrossesSL18-NL-6-FG1xSL18-LD-1-MG2"
"464","SL18-JS-16-FG3xSL18-OD-6-MG2","CrossesSL18-NL-6-FG1xSL18-LD-2-MG1"
"465","SL18-OI-4-FG2xSL18-NC-15-MG1","CrossesSL18-NL-6-FG1xSL18-LD-3-MG2"
"466","SL18-NC-12-FG2xSL18-OI-16-MG1","CrossesSL18-NL-6-FG1xSL18-NL-2-MG1"
"467","SL18-CC-8-FG2xSL18-JS-5-MG3","CrossesSL18-NL-6-FG1xSL18-OI-11-MG2"
"468","SL18-OI-4-FG2xSL18-JS-19-MG2","CrossesSL18-NL-6-FG1xSL18-OI-14-MG2"
"469","SL18-OI-6-FG2xSA18-CB-4-MG2","CrossesSL18-NL-6-FG1xSL18-OI-15-MG1"
"470","SL18-CC-3-FG1xSL18-JS-5-MG2","CrossesSL18-NL-6-FG1xSL18-OI-16-MG1"
"471","SL18-CC-3-FG2xSL18-OD-6-MG1","CrossesSL18-NL-6-FG1xSL18-SF-17-MG1"
"472","SL18-LD-13-FG2xSA18-CB-7-MG1","CrossesSL18-NL-6-FG1xSL18-SF-19-MG2"
"473","SL18-OI-6-FG2xSL18-LD-2-MG2","CrossesSL18-NL-7-FG4xSA18-CB-1-MG12"
"474","SL18-CC-12-FG3xSL18-OI-15-MG3","CrossesSL18-NL-9-FG2xSA18-CB-7-MG1"
"475","SL18-CC-11-FG3xSL18-NC-2-MG3","CrossesSL18-NL-9-FG2xSL18-SF-19-MG1"
"476","SL18-CC-12-FG2xSL18-OI-15-MG2","CrossesSL18-OD-5-FG1xSL18-CC-8-MG2"
"477","SL18-SF-17-FG2xSA18-CB-1-MG13","CrossesSL18-OD-5-FG3xSA18-CB-1-MG12"
"478","SL18-SF-17-FG2xSL18-OI-4-MG3","CrossesSL18-OI-11-FG1xSL18-SF-15-MG2"
"479","SL18-NC-10-FG3xSL18-NL-5-MG2","CrossesSL18-OI-11-FG3xSL18-CC-1-MG3"
"480","SL18-CC-8-FG2xSL18-LD-9-MG1","CrossesSL18-OI-11-FG3xSL18-NC-2-MG1"
"481","SL18-NL-3-FG3xSL18-NC-9-MG2","CrossesSL18-OI-15-FG1xSA18-CB-2-MG3"
"482","SL18-OI-6-FG3xSL18-CC-11-MG5","CrossesSL18-OI-15-FG1xSL18-NL-5-MG1"
"483","SL18-CC-8-FG1xSL18-OI-7-MG1","CrossesSL18-OI-15-FG1xSL18-SF-15-MG1"
"484","SL18-JS-5-FG1xSL18-OI-14-MG1","CrossesSL18-OI-15-FG2xSA18-CB-2-MG3"
"485","SL18-NC-10-FG1xSL18-OI-11-MG4","CrossesSL18-OI-16-FG2xSL18-OI-18-MG1"
"486","SL18-SF-17-FG2xSA18-CB-7-MG2","CrossesSL18-OI-16-FG3xSA18-CB-4-MG3"
"487","SL18-CC-9-FG3xSL18-JS-9-MG3","CrossesSL18-OI-16-FG3xSA18-CB-5-MG3"
"488","SL18-CC-5-FG2xSL18-NC-10-MG2","CrossesSL18-OI-16-FG3xSL18-LD-3-MG2"
"489","SL18-OI-11-FG3xSL18-NC-2-MG1","CrossesSL18-OI-16-FG3xSL18-NL-6-MG1"
"490","SL18-NC-9-FG2xSL18-JS-11-MG3","CrossesSL18-OI-16-FG3xSL18-SF-17-MG2"
"491","SL18-LD-9-FG4xSL18-OI-6-MG2","CrossesSL18-OI-17-FG1xSL18-OI-4-MG1"
"492","SL18-CC-3-FG2xSL18-OI-11-MG3","CrossesSL18-OI-17-FG1xSL18-SF-13-MG2"
"493","SL18-OI-9-FG4xSA18-CB-1-MG12","CrossesSL18-OI-17-FG2xSL18-SF-17-MG2"
"494","SL18-CC-3-FG2xSA18-CB-4-MG2","CrossesSL18-OI-17-FG4xSL18-CC-7-MG1"
"495","SL18-NC-5-FG2xSL18-JS-11-MG3","CrossesSL18-OI-17-FG4xSL18-JS-6-MG2"
"496","SL18-CC-8-FG1xSL18-OI-18-MG3","CrossesSL18-OI-18-FG1xSL18-OI-9-MG3"
"497","SL18-CC-6-FG3xSL18-JS-9-MG2","CrossesSL18-OI-18-FG2xSA18-CB-7-MG1"
"498","SL18-NL-7-FG4xSA18-CB-1-MG12","CrossesSL18-OI-18-FG2xSL18-LD-10-MG1"
"499","SL18-CC-1-FG1xSL18-NC-15-MG3","CrossesSL18-OI-18-FG2xSL18-LD-2-MG3"
"500","SL18-CC-1-FG1xSL18-CC-4-MG11","CrossesSL18-OI-18-FG2xSL18-LD-9-MG1"
"501","SL18-CC-5-FG2xSL18-NC-9-MG2","CrossesSL18-OI-18-FG2xSL18-NL-2-MG2"
"502","SA18-CB-9-FG1xSL18-JS-19-MG1","CrossesSL18-OI-18-FG3xSL18-LL-9-MG1"
"503","SL18-NL-3-FG1xSL18-OD-3-MG1","CrossesSL18-OI-18-FG3xSL18-OI-7-MG1"
"504","SL18-CC-5-FG3xSA18-CB-1-MG12","CrossesSL18-OI-18-FG5xSA18-CB-4-MG3"
"505","SL18-CC-8-FG2xSL18-NC-5-MG3","CrossesSL18-OI-18-FG5xSL18-LD-2-MG1"
"506","SL18-CC-6-FG3xSL18-OI-14-MG2","CrossesSL18-OI-18-FG5xSL18-SF-15-MG2"
"507","SL18-NC-12-FG2xSA18-CB-3-MG1","CrossesSL18-OI-18-FG6xSA18-CB-1-MG2"
"508","SL18-CC-3-FG3xSL18-OD-6-MG3","CrossesSL18-OI-18-FG6xSL18-NL-6-MG1"
"509","SL18-CC-6-FG2xSL18-OI-14-MG1","CrossesSL18-OI-2-FG2xSL18-LD-1-MG2"
"510","SL18-JS-19-FG3xSA18-CB-3-MG2","CrossesSL18-OI-2-FG3xSL18-NL-9-MG1"
"511","SL18-NC-12-FG2xSL18-NL-5-MG2","CrossesSL18-OI-2-FG3xSL18-SF-17-MG1"
"512","SL18-JS-5-FG1xSA18-CB-1-MG12","CrossesSL18-OI-4-FG2xSA18-CB-7-MG2"
"513","SL18-JS-16-FG3xSA18-CB-4-MG3","CrossesSL18-OI-4-FG2xSL18-JS-19-MG2"
"514","SL18-OI-4-FG2xSA18-CB-7-MG2","CrossesSL18-OI-4-FG2xSL18-NC-15-MG1"
"515","SL18-NC-1-FG1xSL18-NC-12-MG3","CrossesSL18-OI-5-FG5xSA18-CB-7-MG3"
"516","SL18-NC-15-FG3xSL18-CC-1-MG2","CrossesSL18-OI-6-FG1xSA18-CB-2-MG1"
"517","SL18-SF-17-FG2xSL18-NC-12-MG1","CrossesSL18-OI-6-FG1xSA18-CB-4-MG1"
"518","SL18-LL-9-FG2xSA18-CB-5-MG3","CrossesSL18-OI-6-FG1xSL18-LD-13-MG2"
"519","SL18-SF-17-FG2xSA18-CB-7-MG3","CrossesSL18-OI-6-FG1xSL18-LD-2-MG1"
"520","SA18-CB-4-FG6xSL18-JS-6-MG3","CrossesSL18-OI-6-FG1xSL18-LD-5-MG1"
"521","SL18-CC-3-FG1xSL18-JS-11-MG2","CrossesSL18-OI-6-FG1xSL18-NL-9-MG1"
"522","SA18-CB-5-FG6xSL18-CC-6-MG2","CrossesSL18-OI-6-FG1xSL18-SF-15-MG1"
"523","SL18-JS-19-FG3xSL18-OI-17-MG1","CrossesSL18-OI-6-FG1xSL18-SF-19-MG1"
"524","SL18-OI-17-FG4xSL18-CC-7-MG1","CrossesSL18-OI-6-FG2xSA18-CB-4-MG2"
"525","SL18-OI-17-FG1xSL18-OI-4-MG1","CrossesSL18-OI-6-FG2xSL18-LD-2-MG2"
"526","SL18-CC-6-FG2xSL18-OI-11-MG4","CrossesSL18-OI-6-FG3xSL18-CC-11-MG5"
"527","SL18-JS-9-FG3xSA18-CB-10-MG1","CrossesSL18-OI-6-FG3xSL18-JS-6-MG1"
"528","SL18-OI-6-FG3xSL18-JS-6-MG1","CrossesSL18-OI-7-FG3xSA18-CB-2-MG3"
"529","SL18-SF-13-FG2xSL18-JS-11-MG3","CrossesSL18-OI-9-FG1xSL18-LL-9-MG2"
"530","SL18-JS-19-FG3xSL18-LD-13-MG3","CrossesSL18-OI-9-FG4xSA18-CB-1-MG12"
"531","SA18-CB-2-FG3xSL18-CC-2-MG5","CrossesSL18-SF-13-FG1xSA18-CB-7-MG1"
"532","SA18-CB-9-FG1xSL18-OI-7-MG3","CrossesSL18-SF-13-FG1xSL18-LL-9-MG3"
"533","SL18-CC-3-FG1xSL18-OI-16-MG2","CrossesSL18-SF-13-FG2xSA18-CB-2-MG3"
"534","SL18-CC-8-FG1xSL18-NC-8-MG2","CrossesSL18-SF-13-FG2xSL18-JS-11-MG3"
"535","SL18-SF-13-FG2xSA18-CB-2-MG3","CrossesSL18-SF-13-FG2xSL18-JS-9-MG2"
"536","SL18-SF-13-FG2xSL18-JS-9-MG2","CrossesSL18-SF-17-FG1xSL18-LL-9-MG1"
"537","SL18-JS-19-FG2xSA18-CB-10-MG3","CrossesSL18-SF-17-FG2xSA18-CB-1-MG13"
"538","SL18-CC-6-FG1xSL18-JS-5-MG2","CrossesSL18-SF-17-FG2xSA18-CB-7-MG2"
"539","SL18-CC-12-FG2xSL18-LL-9-MG4","CrossesSL18-SF-17-FG2xSA18-CB-7-MG3"
"540","SL18-NL-3-FG1xSL18-OI-7-MG3","CrossesSL18-SF-17-FG2xSL18-NC-1-MG1"
"541","SL18-NL-5-FG1xSL18-OI-14-MG1","CrossesSL18-SF-17-FG2xSL18-NC-12-MG1"
"542","SL18-NC-8-FG1xSL18-NL-7-MG2","CrossesSL18-SF-17-FG2xSL18-OI-4-MG3"
"543","SL18-JS-5-FG2xSL18-OI-5-MG3","CrossesSL18-SF-17-FG3xSA18-CB-10-MG1"
"544","SL18-CC-10-FG4xSL18-NC-2-MG2","CrossesSL18-SF-17-FG3xSA18-CB-3-MG3"
"545","SL18-NC-5-FG3xSL18-OI-2-MG2","CrossesSL18-SF-17-FG3xSL18-LD-2-MG1"
"546","SL18-OI-16-FG2xSL18-OI-18-MG1","CrossesSL18-SF-17-FG3xSL18-NL-10-MG2"
"547","SL18-CC-1-FG2xSL18-NC-11-MG2","CrossesSL18-SF-17-FG3xSL18-NL-2-MG3"
"548","SL18-CC-12-FG3xSL18-NC-11-MG2","CrossesSL18-SF-17-FG3xSL18-NL-9-MG1"
"549","SA18-CB-7-FG1xSL18-LD-1-MG1","CrossesSL18-SF-17-FG3xSL18-OI-7-MG1"
"550","SL18-NC-10-FG3xSA18-CB-3-MG2","CrossesSL18-SF-17-FG3xSL18-OI-9-MG3"
