"","pedigree","gpSex","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4","SL18-OI-4",NA,0.0751677520611582,0.0370544617675239,0.362098630776836,36.4275307410714,0.0776459156686067,-0.143577223062308,-0.474300250909606,0.104563482979154,-0.283794336866728
"SL18-OI-5","SL18-OI-5",NA,-0.236124180742916,-0.0519877945052584,0.484709660914039,-10.7573413450949,-0.302346023303363,0.0147857247118501,-0.255742736469708,0.0792198420765475,-0.159747250400047
"SL18-OI-6","SL18-OI-6",NA,0.407867005342486,0.17974051648115,1.87125197856096,40.1072151948278,-0.33407642058946,-0.00358209644137071,0.344813053612016,0.302119934215126,0.611589017335465
"SL18-OI-11","SL18-OI-11",NA,0.199244843768261,0.0547220778769951,0.0905734677087018,12.3787371421394,-0.46373929944072,0.0997124033544249,0.0552758959147309,0.0199555375073587,-0.0135028961277803
"SL18-OI-15","SL18-OI-15",NA,0.108102016132766,0.0353177131268965,0.389963322374639,2.43164774735294,-0.392454255711678,-0.0785370498372697,0.0438220232882762,0.576834027278519,-0.045775169586282
"SL18-OI-16","SL18-OI-16",NA,-0.214036115654611,-0.0690020789974127,0.492725121254159,-12.9231630252429,0.263328458863075,0.124812726530136,-0.27625393461131,-0.583966747392791,-0.18463315072395
"SL18-OI-17","SL18-OI-17",NA,0.140862893165615,0.0481796107183902,0.0310617917080691,-0.836114171442718,0.0110123489665231,-0.0332318952006263,0.0750182445482771,-0.160095918690248,0.423566289035469
"SL18-OI-18","SL18-OI-18",NA,-0.0961822088722905,-0.0369793834403196,0.347215449826156,-0.817438548957749,-0.199134408304147,-0.103446913489995,-0.010439638354052,0.387546794247644,-0.0751407625916161
"SL18-LD-1","SL18-LD-1",NA,-0.00861517741885979,0.00111097649997083,0.140277542739662,1.73972314255136,0.191194027379678,0.21204508850674,-0.489853460016594,0.00858566062126605,-0.308093423875328
"SL18-LD-3","SL18-LD-3",NA,0.0140408327858639,0.00573488982812665,0.0581470769005556,13.1880134459468,0.11121343004139,0.0872952839159319,-0.14805436525036,-0.0979866568481997,-0.0930710852796189
"SL18-LD-4","SL18-LD-4",NA,-0.0368498147897583,-0.0129916788367711,-0.104602608289754,11.5911838646838,0.116800658581786,0.0987677888518262,-0.136504267669492,-0.0595832629581457,-0.0673857072797836
"SL18-LD-5","SL18-LD-5",NA,0.0280415555787782,0.010196746363177,0.0710415697204786,14.1483033888988,0.0922195623117395,0.0984596895903443,-0.076016426507323,-0.0712469631364075,-0.0327626716210385
