"","pedigree","index","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4","SL18-OI-4",0.187398240980797,0.0481808130228713,0.0287269391557203,0.129944362669357,17.1515719213813,-0.00380370254278637,0.157542612872877,-0.665893286785452,-0.19759024462188,-0.556461697020484
"SL18-OI-5","SL18-OI-5",-0.0642538179577201,-0.411065482412206,-0.103674559590428,0.143095301223136,-10.7381846221568,0.0682877033124412,-0.115116700164249,-0.326922269305999,0.132386145056427,-0.264660193745883
"SL18-OI-6","SL18-OI-6",0.737350723542121,0.325523443711657,0.147442883077689,0.442464957386743,-16.6210290793251,-0.27228124314324,-0.20023667889569,0.014966562647694,-0.213133643040188,-0.055129228986451
"SL18-OI-11","SL18-OI-11",0.107606102463386,0.192790756469327,0.0445934737238009,0.0184191550157846,4.2756891005344,-0.0694610900351338,0.258925162701649,-0.27661880651948,0.160717478283206,0.145795350157394
"SL18-OI-15","SL18-OI-15",0.246886908095786,0.308405199227882,0.0768931008719082,0.0931007063519697,20.9168132145984,-0.286860961034124,-0.184168970430336,0.370144223108283,-0.289779606295306,0.312475425751468
"SL18-OI-16","SL18-OI-16",0.018092593483826,-0.151122429025082,-0.0610985624633195,0.140289718410465,18.4663735913,-0.13819547288455,-0.209161033208889,-0.146930943675034,-0.257638611284071,-0.0361608501788418
"SL18-OI-17","SL18-OI-17",0.0472809696842431,0.0320366657674428,0.0239077432508205,-0.000534516817397821,-12.7680206508723,-0.0634458782763016,0.0457814493321237,-0.0399959215410765,-0.265431650088622,-0.426950299850893
"SL18-OI-18","SL18-OI-18",0.199866558822908,-0.129362718315408,-0.0220465659575403,0.243959690737988,-41.0027662831649,-0.155448636131603,0.044427150837938,0.177915500607138,-0.184291654784845,0.233677600144145
"SL18-LD-1","SL18-LD-1",0.0665810026905187,-0.34360605945644,-0.0716543343392828,0.209889671369084,-19.4819795097748,0.0584463459447337,0.0894050237735872,0.20859847212104,0.1834696453841,0.377723687162248
"SL18-LD-3","SL18-LD-3",0.0557983657182169,-0.17447258571633,-0.0426764157074028,0.141151197133022,-19.5725765290326,0.047143828548746,0.0546164011795797,-0.156814574561455,-0.0811418771326036,-0.0543399827430852
"SL18-LD-4","SL18-LD-4",0.00578731192673121,-0.268283806115108,-0.0695082948179632,0.144803901562658,-36.0843299308874,0.0840838964198087,-0.230002128287735,0.290828759554897,-0.0768466170456733,0.544519356459854
"SL18-LD-5","SL18-LD-5",-0.0670371022958449,-0.158747596396078,-0.0695124913718154,0.0719878804477859,-27.2669522971525,0.0892776406718061,-0.101177030577763,0.273407813713375,-0.0547438686252791,0.337900991889347
"SL18-LD-9","SL18-LD-9",0.0336569707557862,-0.199943732953597,-0.0465975831416337,0.126852137039054,-34.086866920922,0.00352737954864499,-0.0212685158151908,0.328835463715482,-0.118939553678733,0.330322744015384
"SL18-LD-10","SL18-LD-10",0.0635727081114564,-0.134382891869958,-0.0353754817687122,0.134323671648881,-14.051119267022,-0.0219486791218254,0.181544798036605,0.848015890104948,-0.0665124169325941,0.320635877009921
