"","pedigree","gpSex","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-4","SL18-OI-4",NA,0.0253369176860219,0.00193168944602638,6.22311719352116e-10,-17.4996891753807,-0.000763464250321855,-0.0137201319939359,-0.466938391006005,-0.130861506345325,0.0281680640850882
"SL18-OI-5","SL18-OI-5",NA,0.0328126449226654,0.00661816961527097,7.4506395885626e-10,-6.55321280476001,-0.00687410335784663,-0.037024464713765,-0.128892441850122,-0.101962566344245,-0.0302251204965453
"SL18-OI-6","SL18-OI-6",NA,-0.0477472831369527,-0.0237395080369005,-3.08661854442345e-10,-57.92620567868,-0.048298865502051,-0.21026714774742,-0.245043669364796,-0.509209979818151,-0.256698745638117
"SL18-OI-11","SL18-OI-11",NA,0.0457428225422911,-0.00341350322977224,-1.13852847465429e-10,-9.09893626178842,0.00205147813210926,0.296638163083233,-0.272803091275505,0.201712067327603,0.214436782857151
"SL18-OI-15","SL18-OI-15",NA,0.2956182451323,0.0644940063306667,-2.28116701692243e-10,21.0589036137085,-0.0402756489720914,-0.156327451762751,-0.0512710946064903,-0.263884388055362,0.0202878673097264
"SL18-OI-16","SL18-OI-16",NA,0.0837389861156383,0.0123806407013647,1.18312802977672e-10,28.3504435806267,-0.0183071873100313,-0.215810491866873,-0.259049157928877,-0.369235707160602,-0.272211210660371
"SL18-OI-17","SL18-OI-17",NA,-0.0553269727525572,-0.0119697547134279,-5.03455605666683e-10,-18.6355983405436,-0.00553097071235493,-0.196061017163731,-0.478044448095333,-0.188899673721312,-0.640444183715154
"SL18-OI-18","SL18-OI-18",NA,-0.0605582981504383,0.00893660374338919,4.09614726070445e-09,-51.402945546954,-0.0358127731568981,-0.0358526653701564,0.0200893149609501,-0.166798123913437,0.212677114400446
"SL18-LD-1","SL18-LD-1",NA,-0.265000923876882,-0.0519180638510843,4.64864209117737e-09,-23.6519572392853,0.004050999412585,0.0632527435240417,0.0208131763471517,0.146958966480811,0.16931120164825
"SL18-LD-3","SL18-LD-3",NA,-0.160971612267608,-0.0395349746867535,3.23946690712615e-09,-29.3887401963841,0.0214079867357414,0.133624167256646,-0.124458985410887,0.0310768049187264,-0.0132737208383641
"SL18-LD-4","SL18-LD-4",NA,-0.218798052685088,-0.0517434542319576,4.23658528041247e-09,-46.8408741702751,0.0197897230603818,-0.22305362218908,0.0959424629024738,-0.092591646080607,0.315567601369582
"SL18-LD-5","SL18-LD-5",NA,-0.110501998970187,-0.0445492478748227,1.64114741789972e-09,-39.3068809436409,0.0124656933322356,-0.0250587975333375,0.107972520286135,-0.0299907211511898,0.263521945547448
