"","crossID","Order_1","Year","plotNo","Region","plotNo_Numeric","date","GrowDays","Pain2Plant","femaPar","femaParLoc","malePar","maleParLoc","Crosses","crossID.1","PlantingDens","development","line","position","block","PhotoScore","wetWgtPlot","lengthPlot","wetWgtPerM","percDryWgt","dryWgtPerM","densityBlades","popChk","withinLoc","isSelf"
"534","SL19-UCONN-S67",534,"2020","S67","GOM","67","6_9_2020","185",NA,"SL18-JS-19-FG2","JS","SA18-CB-10-MG3","CB","SL18-JS-19-FG2xSA18-CB-10-MG3","SL19-UCONN-S67",2,1,"2",NA,"2",3,1.37,0.95,1.45,12.99,0.187770305,50,"ES","0","0"
"535","SL19-UCONN-S68",535,"2020","S68","GOM","68","6_9_2020","185",NA,"SL18-CC-6-FG1","CC","SL18-JS-5-MG2","JS","SL18-CC-6-FG1xSL18-JS-5-MG2","SL19-UCONN-S68",2,1,"2",NA,"2",2,0.44,1.08,0.41,10.88,0.044764563,160,"ES","0","0"
"545","SL19-UCONN-S77",545,"2020","S77","GOM","77","6_9_2020","185",NA,"SL18-CC-12-FG2","CC","SL18-LL-9-MG4","LL","SL18-CC-12-FG2xSL18-LL-9-MG4","SL19-UCONN-S77",3,1,"2",NA,"4",3,7.6,0.89,8.54,10.66,0.910135569,440,"ES","0","0"
"546","SL19-UCONN-S78",546,"2020","S78","GOM","78","6_9_2020","185",NA,"SL18-NL-3-FG1","NL","SL18-OI-7-MG3","OI","SL18-NL-3-FG1xSL18-OI-7-MG3","SL19-UCONN-S78",3,1,"2",NA,"4",3,2.31,1.02,2.26,8.98,0.203222777,100,"ES","0","0"
"554","SL19-UCONN-S85",554,"2020","S85","GOM","85","6_9_2020","185",NA,"SL18-NL-5-FG1","NL","SL18-OI-14-MG1","OI","SL18-NL-5-FG1xSL18-OI-14-MG1","SL19-UCONN-S85",2,1,"2",NA,"5",2,1.39,1.03,1.35,13.39,0.180404521,80,"ES","0","0"
"556","SL19-UCONN-S87",556,"2020","S87","GOM","87","6_9_2020","185",NA,"SL18-NC-8-FG1","NC","SL18-NL-7-MG2","NL","SL18-NC-8-FG1xSL18-NL-7-MG2","SL19-UCONN-S87",1,1,"2",NA,"6",2,1.25,1.03,1.21,17.7,0.214393172,70,"ES","0","0"
"557","SL19-UCONN-S88",557,"2020","S88","GOM","88","6_9_2020","185",NA,"SL18-JS-5-FG2","JS","SL18-OI-5-MG3","OI","SL18-JS-5-FG2xSL18-OI-5-MG3","SL19-UCONN-S88",1,1,"2",NA,"6",2,0.52,1.001,0.52,12.87,0.066847096,60,"ES","0","0"
"560","SL19-UCONN-S90",560,"2020","S90","GOM","90","6_9_2020","185",NA,"SL18-CC-10-FG4","CC","SL18-NC-2-MG2","NC","SL18-CC-10-FG4xSL18-NC-2-MG2","SL19-UCONN-S90",3,1,"2",NA,"6",3,4.75,0.97,4.9,14.7,0.720187772,130,"ES","0","0"
"561","SL19-UCONN-S91",561,"2020","S91","GOM","91","6_9_2020","185",NA,"SL18-NC-5-FG3","NC","SL18-OI-2-MG2","OI","SL18-NC-5-FG3xSL18-OI-2-MG2","SL19-UCONN-S91",3,1,"2",NA,"7",3,1.82,1.005,1.81,10.75,0.194644302,210,"ES","0","0"
"562","SL19-UCONN-S92",562,"2020","S92","GOM","92","6_9_2020","185",NA,"SL18-OI-16-FG2","OI","SL18-OI-18-MG1","OI","SL18-OI-16-FG2xSL18-OI-18-MG1","SL19-UCONN-S92",3,1,"2",NA,"7",3,1.14,1,1.14,11.49,0.131013916,120,"ES","1","0"
"563","SL19-UCONN-S93",563,"2020","S93","GOM","93","6_9_2020","185",NA,"SL18-CC-1-FG2","CC","SL18-NC-11-MG2","NC","SL18-CC-1-FG2xSL18-NC-11-MG2","SL19-UCONN-S93",3,1,"2",NA,"7",3,2.42,0.94,2.58,11.07,0.285495162,170,"ES","0","0"
"565","SL19-UCONN-S95",565,"2020","S95","GOM","95","6_9_2020","185",NA,"SL18-CC-12-FG3","CC","SL18-NC-11-MG2","NC","SL18-CC-12-FG3xSL18-NC-11-MG2","SL19-UCONN-S95",3,1,"2",NA,"7",3,2.08,0.93,2.24,11.56,0.259227887,190,"ES","0","0"
"566","SL19-UCONN-S96",566,"2020","S96","GOM","96","6_9_2020","185",NA,"SA18-CB-7-FG1","CB","SL18-LD-1-MG1","LD","SA18-CB-7-FG1xSL18-LD-1-MG1","SL19-UCONN-S96",3,1,"2",NA,"8",2,1.66,0.915,1.81,14.42,0.260960484,60,"ES","0","0"
"569","SL19-UCONN-S99",569,"2020","S99","GOM","99","6_9_2020","185",NA,"SL18-NC-10-FG3","NC","SA18-CB-3-MG2","CB","SL18-NC-10-FG3xSA18-CB-3-MG2","SL19-UCONN-S99",1,1,"2",NA,"8",2,0.61,1.01,0.6,0.56,0.003396366,130,"ES","0","0"
"589","Check",589,"2020","Z3-A","GOM","C3-A","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"1",NA,"1",3,2.54,0.82,3.1,13.68,0.424155947,60,"Z3","0","0"
"590","Check",590,"2020","Z3-B","GOM","C3-B","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"1",NA,"3",3,2.09,1.06,1.97,10.99,0.216209429,90,"Z3","0","0"
"591","Check",591,"2020","Z3-C","GOM","C3-C","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"1",NA,"6",3,3.51,1.08,3.25,13.57,0.441624815,130,"Z3","0","0"
"592","Check",592,"2020","Z3-D","GOM","C3-D","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"2",NA,"7",3,3.9,0.992,3.93,11.77,0.462943058,130,"Z3","0","0"
"593","Check",593,"2020","Z3-E","GOM","C3-E","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"3",NA,"2",3,2.25,1.02,2.2,11.39,0.251174836,20,"Z3","0","0"
"594","Check",594,"2020","Z3-F","GOM","C3-F","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"3",NA,"4",3,1.05,0.98,1.07,8.37,0.089811911,70,"Z3","0","0"
"596","Check",596,"2020","Z3-H","GOM","C3-H","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"4",NA,"8",2,1.73,0.99,1.75,13.79,0.241059201,60,"Z3","0","0"
"597","Check",597,"2020","Z3-I","GOM","C3-I","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"4",NA,"10",2,1.37,0.94,1.46,14.71,0.215019677,80,"Z3","0","0"
"598","Check",598,"2020","Z3-J","GOM","C3-J","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"5",NA,"5",3,1.83,1,1.83,12.41,0.227034897,70,"Z3","0","0"
"599","Check",599,"2020","Z3-K","GOM","C3-K","6_9_2020","185",NA,"SL-OI-1S_TB","OI","SL-ME-MG1","ME","SL-OI-1S_TBxSL-ME-MG1","Check",NA,NA,"5",NA,"11",3,3.04,0.87,3.49,9.52,0.332689925,130,"Z3","0","0"
"603","Check",603,"2020","Z4-D","GOM","C4-D","6_9_2020","185",NA,"SL-NL-7-FG3","NL","SL-OI-15-MG3","OI","SL-NL-7-FG3xSL-OI-15-MG3","Check",NA,NA,"2",NA,"3",2,0.91,1.04,0.87,16.34,0.142536546,60,"Z4","0","0"
"604","Check",604,"2020","Z4-E","GOM","C4-E","6_9_2020","185",NA,"SL-NL-7-FG3","NL","SL-OI-15-MG3","OI","SL-NL-7-FG3xSL-OI-15-MG3","Check",NA,NA,"2",NA,"4",2,0.19,0.9625,NA,NA,NA,70,"Z4","0","0"
"605","Check",605,"2020","Z4-F","GOM","C4-F","6_9_2020","185",NA,"SL-NL-7-FG3","NL","SL-OI-15-MG3","OI","SL-NL-7-FG3xSL-OI-15-MG3","Check",NA,NA,"2",NA,"6",2,0.6,1.015,0.59,12.48,0.073658425,70,"Z4","0","0"
"606","Check",606,"2020","Z4-G","GOM","C4-G","6_9_2020","185",NA,"SL-NL-7-FG3","NL","SL-OI-15-MG3","OI","SL-NL-7-FG3xSL-OI-15-MG3","Check",NA,NA,"3",NA,"8",2,0.6,1.07,0.56,11.37,0.063229542,100,"Z4","0","0"
"607","Check",607,"2020","Z4-H","GOM","C4-H","6_9_2020","185",NA,"SL-NL-7-FG3","NL","SL-OI-15-MG3","OI","SL-NL-7-FG3xSL-OI-15-MG3","Check",NA,NA,"4",NA,"1",2,0.57,1.058,0.53,13.06,0.069875947,30,"Z4","0","0"
"608","Check",608,"2020","Z4-I","GOM","C4-I","6_9_2020","185",NA,"SL-NL-7-FG3","NL","SL-OI-15-MG3","OI","SL-NL-7-FG3xSL-OI-15-MG3","Check",NA,NA,"4",NA,"2",2,0.67,1.01,0.66,12.05,0.079846029,20,"Z4","0","0"
