"","fndRow","",""
"SL18-OI-4",1,0,0
"SL18-OI-5",2,0,0
"SL18-OI-6",3,0,0
"SL18-OI-11",4,0,0
"SL18-OI-15",5,0,0
"SL18-OI-16",6,0,0
"SL18-OI-17",7,0,0
"SL18-OI-18",8,0,0
"SL18-LD-1",9,0,0
"SL18-LD-3",10,0,0
"SL18-LD-4",11,0,0
"SL18-LD-5",12,0,0
"SL18-LD-9",13,0,0
"SL18-LD-10",14,0,0
"SL18-LD-13",15,0,0
"SL18-FW-2",16,0,0
"SL18-FI-1",17,0,0
"SL18-FI-2",18,0,0
"SL18-CC-1",19,0,0
"SL18-CC-2",20,0,0
"SL18-CC-3",21,0,0
"SL18-CC-4",22,0,0
"SL18-CC-5",23,0,0
"SL18-CC-6",24,0,0
"SL18-CC-7",25,0,0
"SL18-CC-8",26,0,0
"SL18-CC-9",27,0,0
"SL18-CC-10",28,0,0
"SL18-CC-11",29,0,0
"SL18-CC-12",30,0,0
"SL18-FW-14",31,0,0
"SL18-NC-2",32,0,0
"SL18-NC-1",33,0,0
"SL18-NC-5",34,0,0
"SL18-JS-6",35,0,0
"SL18-JS-5",36,0,0
"SL18-JS-9",37,0,0
"SL18-NC-8",38,0,0
"SL18-NC-10",39,0,0
"SL18-NC-9",40,0,0
"SL18-NC-12",41,0,0
"SL18-NL-2",42,0,0
"SL18-NL-3",43,0,0
"SL18-NL-5",44,0,0
"SL18-NL-7",45,0,0
"SL18-NL-6",46,0,0
"SL18-NL-9",47,0,0
"SL18-NL-10",48,0,0
"SL18-JS-19",49,0,0
"SL18-JS-16",50,0,0
"SL18-JS-11",51,0,0
"SL18-BL-10",52,0,0
"SL18-BL-11",53,0,0
"SL18-BL-12",54,0,0
"SL18-BL-13",55,0,0
"SL18-BL-14",56,0,0
"SA18-CB-10",57,0,0
"SL18-OI-2",58,0,0
"SL18-OI-7",59,0,0
"SL18-OI-9",60,0,0
"SL18-SF-13",61,0,0
"SL18-SF-17",62,0,0
"SA18-CB-4",63,0,0
"SL18-LD-2",64,0,0
"SA18-CB-7",65,0,0
"SL18-LL-9",66,0,0
"SL18-SF-19",67,0,0
"SL18-OI-14",68,0,0
"SL18-SF-15",69,0,0
"SA18-CB-2",70,0,0
"SA18-CB-5",71,0,0
"SA18-CB-1",72,0,0
"SA18-CB-3",73,0,0
"SA18-CB-10-FG1",74,57,NA
"SL18-LD-10-FG1",75,14,NA
"SL18-NL-6-FG1",76,46,NA
"SL18-LD-10-FG2",77,14,NA
"SL18-NL-9-FG2",78,47,NA
"SL18-OI-11-FG1",79,4,NA
"SL18-OI-15-FG1",80,5,NA
"SL18-OI-16-FG3",81,6,NA
"SL18-LD-13-FG2",82,15,NA
"SL18-OI-17-FG1",83,7,NA
"SL18-OI-17-FG2",84,7,NA
"SL18-OI-18-FG1",85,8,NA
"SL18-OI-18-FG2",86,8,NA
"SL18-OI-18-FG3",87,8,NA
"SL18-OI-18-FG5",88,8,NA
"SL18-OI-18-FG6",89,8,NA
"SL18-OI-2-FG2",90,58,NA
"SL18-LD-1-FG1",91,9,NA
"SL18-OI-2-FG3",92,58,NA
"SL18-OI-6-FG1",93,3,NA
"SL18-OI-7-FG3",94,59,NA
"SL18-OI-9-FG1",95,60,NA
"SL18-SF-13-FG1",96,61,NA
"SL18-LD-1-FG2",97,9,NA
"SL18-SF-17-FG1",98,62,NA
"SL18-SF-17-FG3",99,62,NA
"SA18-CB-10-FG2",100,57,NA
"SL18-LD-1-FG3",101,9,NA
"SA18-CB-4-FG3",102,63,NA
"SL18-LD-2-FG2",103,64,NA
"SL18-LD-3-FG1",104,10,NA
"SL18-LD-3-FG2",105,10,NA
"SL18-LD-4-FG1",106,11,NA
"SL18-LD-4-FG2",107,11,NA
"SL18-LD-4-FG3",108,11,NA
"SL18-LD-5-FG1",109,12,NA
"SA18-CB-7-FG1",110,65,NA
"SL18-LD-9-FG2",111,13,NA
"SL18-LD-9-FG3",112,13,NA
"SL18-LL-9-FG3",113,66,NA
"SL18-NL-10-FG1",114,48,NA
"SL18-NL-10-FG3",115,48,NA
"SL18-NL-2-FG1",116,42,NA
"SL18-NL-2-FG3",117,42,NA
"SL18-NL-3-FG1",118,43,NA
"SL18-NL-3-FG2",119,43,NA
"SL18-NL-3-FG3",120,43,NA
"SL18-SF-19-MG2",121,67,NA
"SL18-OI-4-MG1",122,1,NA
"SL18-OI-11-MG2",123,4,NA
"SL18-OI-14-MG2",124,68,NA
"SL18-OI-15-MG1",125,5,NA
"SL18-OI-16-MG1",126,6,NA
"SL18-SF-17-MG1",127,62,NA
"SA18-CB-7-MG2",128,65,NA
"SL18-NL-3-MG2",129,43,NA
"SA18-CB-7-MG1",130,65,NA
"SL18-SF-19-MG1",131,67,NA
"SL18-SF-15-MG2",132,69,NA
"SA18-CB-2-MG3",133,70,NA
"SL18-NL-5-MG1",134,44,NA
"SL18-SF-15-MG1",135,69,NA
"SA18-CB-4-MG3",136,63,NA
"SA18-CB-5-MG3",137,71,NA
"SL18-LD-13-MG2",138,15,NA
"SL18-LD-3-MG2",139,10,NA
"SL18-NL-6-MG1",140,46,NA
"SL18-SF-17-MG2",141,62,NA
"SL18-SF-13-MG2",142,61,NA
"SL18-OI-9-MG3",143,60,NA
"SL18-LD-10-MG1",144,14,NA
"SL18-LD-9-MG1",145,13,NA
"SL18-NL-2-MG2",146,42,NA
"SL18-LD-2-MG3",147,64,NA
"SL18-LL-9-MG1",148,66,NA
"SL18-OI-7-MG1",149,59,NA
"SL18-LD-2-MG1",150,64,NA
