"","fndRow","",""
"SA18-CB-1-MG2",151,72,NA
"SL18-LD-1-MG2",152,9,NA
"SL18-NL-9-MG1",153,47,NA
"SA18-CB-2-MG1",154,70,NA
"SA18-CB-4-MG1",155,63,NA
"SL18-LD-5-MG1",156,12,NA
"SL18-OI-18-MG1",157,8,NA
"SL18-LL-9-MG2",158,66,NA
"SL18-LL-9-MG3",159,66,NA
"SA18-CB-10-MG1",160,57,NA
"SA18-CB-3-MG3",161,73,NA
"SL18-NL-10-MG2",162,48,NA
"SL18-NL-2-MG3",163,42,NA
"SL18-SF-13-MG3",164,61,NA
"SL18-OI-6-MG2",165,3,NA
"SL18-NL-9-MG2",166,47,NA
"SL18-OI-15-MG2",167,5,NA
"SL18-SF-17-MG3",168,62,NA
"SL18-NL-7-MG1",169,45,NA
"SL18-SF-13-MG1",170,61,NA
"SA18-CB-2-MG2",171,70,NA
"SL18-NL-2-MG1",172,42,NA
"SA18-CB-10-FG1xSL18-SF-19-MG2",173,74,121
"SL18-LD-10-FG1xSL18-OI-4-MG1",174,75,122
"SL18-NL-6-FG1xSL18-OI-11-MG2",175,76,123
"SL18-NL-6-FG1xSL18-OI-14-MG2",176,76,124
"SL18-NL-6-FG1xSL18-OI-15-MG1",177,76,125
"SL18-NL-6-FG1xSL18-OI-16-MG1",178,76,126
"SL18-NL-6-FG1xSL18-SF-17-MG1",179,76,127
"SL18-NL-6-FG1xSL18-SF-19-MG2",180,76,121
"SL18-LD-10-FG2xSA18-CB-7-MG2",181,77,128
"SL18-LD-10-FG2xSL18-NL-3-MG2",182,77,129
"SL18-NL-9-FG2xSA18-CB-7-MG1",183,78,130
"SL18-NL-9-FG2xSL18-SF-19-MG1",184,78,131
"SL18-OI-11-FG1xSL18-SF-15-MG2",185,79,132
"SL18-OI-15-FG1xSA18-CB-2-MG3",186,80,133
"SL18-OI-15-FG1xSL18-NL-5-MG1",187,80,134
"SL18-OI-15-FG1xSL18-SF-15-MG1",188,80,135
"SL18-OI-16-FG3xSA18-CB-4-MG3",189,81,136
"SL18-OI-16-FG3xSA18-CB-5-MG3",190,81,137
"SL18-LD-13-FG2xSL18-LD-13-MG2",191,82,138
"SL18-OI-16-FG3xSL18-LD-3-MG2",192,81,139
"SL18-OI-16-FG3xSL18-NL-6-MG1",193,81,140
"SL18-OI-16-FG3xSL18-SF-17-MG2",194,81,141
"SL18-OI-17-FG1xSL18-SF-13-MG2",195,83,142
"SL18-OI-17-FG2xSL18-SF-17-MG2",196,84,141
"SL18-OI-18-FG1xSL18-OI-9-MG3",197,85,143
"SL18-OI-18-FG2xSA18-CB-7-MG1",198,86,130
"SL18-OI-18-FG2xSL18-LD-10-MG1",199,86,144
"SL18-OI-18-FG2xSL18-LD-9-MG1",200,86,145
"SL18-OI-18-FG2xSL18-NL-2-MG2",201,86,146
"SL18-OI-18-FG2xSL18-LD-2-MG3",202,86,147
"SL18-OI-18-FG3xSL18-LL-9-MG1",203,87,148
"SL18-OI-18-FG3xSL18-OI-7-MG1",204,87,149
"SL18-OI-18-FG5xSA18-CB-4-MG3",205,88,136
"SL18-OI-18-FG5xSL18-LD-2-MG1",206,88,150
"SL18-OI-18-FG5xSL18-SF-15-MG2",207,88,132
"SL18-OI-18-FG6xSA18-CB-1-MG2",208,89,151
"SL18-OI-18-FG6xSL18-NL-6-MG1",209,89,140
"SL18-OI-2-FG2xSL18-LD-1-MG2",210,90,152
"SL18-LD-1-FG1xSL18-NL-2-MG2",211,91,146
"SL18-OI-2-FG3xSL18-NL-9-MG1",212,92,153
"SL18-OI-2-FG3xSL18-SF-17-MG1",213,92,127
"SL18-OI-6-FG1xSA18-CB-2-MG1",214,93,154
"SL18-OI-6-FG1xSA18-CB-4-MG1",215,93,155
"SL18-OI-6-FG1xSL18-LD-13-MG2",216,93,138
"SL18-OI-6-FG1xSL18-LD-2-MG1",217,93,150
"SL18-OI-6-FG1xSL18-LD-5-MG1",218,93,156
"SL18-LD-1-FG1xSL18-OI-18-MG1",219,91,157
"SL18-OI-6-FG1xSL18-NL-9-MG1",220,93,153
"SL18-OI-6-FG1xSL18-SF-15-MG1",221,93,135
"SL18-OI-6-FG1xSL18-SF-19-MG1",222,93,131
"SL18-OI-7-FG3xSA18-CB-2-MG3",223,94,133
"SL18-OI-9-FG1xSL18-LL-9-MG2",224,95,158
"SL18-SF-13-FG1xSL18-LL-9-MG3",225,96,159
"SL18-LD-1-FG2xSA18-CB-4-MG3",226,97,136
"SL18-SF-17-FG1xSL18-LL-9-MG1",227,98,148
"SL18-SF-17-FG3xSA18-CB-10-MG1",228,99,160
"SL18-SF-17-FG3xSA18-CB-3-MG3",229,99,161
"SL18-SF-17-FG3xSL18-LD-2-MG1",230,99,150
"SL18-SF-17-FG3xSL18-NL-10-MG2",231,99,162
"SL18-SF-17-FG3xSL18-NL-2-MG3",232,99,163
"SL18-SF-17-FG3xSL18-NL-9-MG1",233,99,153
"SL18-SF-17-FG3xSL18-OI-7-MG1",234,99,149
"SL18-SF-17-FG3xSL18-OI-9-MG3",235,99,143
"SA18-CB-10-FG2xSL18-LL-9-MG1",236,100,148
"SL18-LD-1-FG2xSL18-SF-13-MG3",237,97,164
"SL18-LD-1-FG2xSL18-SF-15-MG1",238,97,135
"SL18-LD-1-FG3xSL18-NL-5-MG1",239,101,134
"SL18-LD-1-FG3xSL18-OI-11-MG2",240,101,123
"SL18-LD-1-FG3xSL18-OI-15-MG1",241,101,125
"SL18-LD-1-FG3xSL18-OI-16-MG1",242,101,126
"SL18-LD-1-FG3xSL18-OI-6-MG2",243,101,165
"SL18-LD-1-FG3xSL18-OI-7-MG1",244,101,149
"SL18-LD-1-FG3xSL18-OI-9-MG3",245,101,143
"SA18-CB-4-FG3xSA18-CB-4-MG3",246,102,136
"SL18-LD-1-FG3xSL18-NL-9-MG2",247,101,166
"SL18-LD-1-FG3xSL18-OI-15-MG2",248,101,167
"SL18-LD-2-FG2xSA18-CB-3-MG3",249,103,161
"SL18-LD-2-FG2xSL18-LL-9-MG2",250,103,158
"SL18-LD-2-FG2xSL18-NL-9-MG1",251,103,153
"SL18-LD-2-FG2xSL18-SF-19-MG1",252,103,131
"SL18-LD-3-FG1xSL18-NL-9-MG1",253,104,153
"SL18-LD-3-FG1xSL18-SF-19-MG2",254,104,121
"SL18-LD-3-FG2xSA18-CB-2-MG3",255,105,133
"SL18-LD-3-FG2xSL18-LL-9-MG2",256,105,158
"SL18-LD-3-FG2xSL18-SF-17-MG3",257,105,168
"SL18-LD-4-FG1xSA18-CB-2-MG1",258,106,154
"SL18-LD-4-FG1xSL18-NL-3-MG2",259,106,129
"SL18-LD-4-FG2xSL18-LL-9-MG1",260,107,148
"SL18-LD-4-FG2xSL18-SF-15-MG2",261,107,132
"SL18-LD-4-FG3xSL18-SF-17-MG1",262,108,127
"SL18-LD-5-FG1xSA18-CB-10-MG1",263,109,160
"SA18-CB-7-FG1xSL18-LL-9-MG3",264,110,159
"SL18-LD-9-FG2xSL18-SF-13-MG3",265,111,164
"SL18-LD-9-FG3xSL18-NL-7-MG1",266,112,169
"SL18-LD-9-FG3xSL18-SF-17-MG1",267,112,127
"SL18-LL-9-FG3xSL18-NL-9-MG1",268,113,153
"SL18-NL-10-FG1xSA18-CB-4-MG3",269,114,136
"SL18-NL-10-FG1xSL18-LD-2-MG1",270,114,150
"SL18-LD-10-FG1xSA18-CB-1-MG2",271,75,151
"SL18-NL-10-FG1xSL18-OI-15-MG1",272,114,125
"SL18-NL-10-FG1xSL18-OI-7-MG1",273,114,149
"SL18-NL-10-FG1xSL18-SF-13-MG1",274,114,170
"SL18-NL-10-FG3xSL18-NL-3-MG2",275,115,129
"SL18-NL-2-FG1xSA18-CB-1-MG2",276,116,151
"SL18-NL-2-FG1xSL18-LD-13-MG2",277,116,138
"SL18-NL-2-FG1xSL18-SF-17-MG1",278,116,127
"SL18-NL-2-FG3xSA18-CB-2-MG3",279,117,133
"SL18-NL-2-FG3xSA18-CB-4-MG1",280,117,155
"SL18-NL-2-FG3xSL18-LD-3-MG2",281,117,139
"SL18-NL-2-FG3xSL18-OI-16-MG1",282,117,126
"SL18-NL-3-FG1xSA18-CB-7-MG2",283,118,128
"SL18-NL-3-FG1xSL18-OI-11-MG2",284,118,123
"SL18-NL-3-FG1xSL18-SF-13-MG2",285,118,142
"SL18-NL-3-FG2xSL18-SF-17-MG2",286,119,141
"SL18-NL-3-FG3xSA18-CB-2-MG2",287,120,171
"SL18-LD-10-FG1xSL18-OI-18-MG1",288,75,157
"SL18-NL-6-FG1xSA18-CB-3-MG3",289,76,161
"SL18-NL-6-FG1xSA18-CB-7-MG2",290,76,128
"SL18-NL-6-FG1xSL18-LD-1-MG2",291,76,152
"SL18-NL-6-FG1xSL18-LD-2-MG1",292,76,150
"SL18-NL-6-FG1xSL18-LD-3-MG2",293,76,139
"SL18-NL-6-FG1xSL18-NL-2-MG1",294,76,172
