"","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-6-FG2",0.784,0.336,2.061,61.757,-0.353,-0.043,0.854,0.345,0.951
"SL18-CC-12-FG2",0.865,0.262,-0.215,101.356,-0.301,-0.073,0.445,-0.334,0.73
"SL18-CC-11-FG3",0.79,0.227,-0.81,153.828,0.079,0.092,0.046,0.21,0.41
"SL18-OI-6-FG3",0.461,0.222,3.735,44.231,-0.511,-0.094,0.55,0.697,1.072
"SA18-CB-9-FG1",0.508,0.187,0.911,-1.332,-0.234,0.102,-0.175,1.001,0.247
"SL18-SF-13-FG2",0.683,0.187,-0.401,58.912,-0.119,-0.186,0.352,-0.072,0.335
"SL18-CC-3-FG2",0.416,0.169,0.391,35.701,-0.078,0.07,0.959,-0.006,0.515
"SL18-OI-11-FG3",0.529,0.165,-0.23,24.238,-0.406,0.117,0.596,0.276,1.026
"SL18-OI-4-FG2",0.387,0.16,0.694,111.148,0.205,-0.132,-0.288,-0.084,0.061
"SL18-OI-17-FG4",0.448,0.145,-0.231,17.272,0.352,0.069,-0.028,-0.471,0.318
"SL18-CC-5-FG2",0.472,0.135,-0.293,28.464,0.259,-0.49,0.609,-0.022,0.034
"SL18-CC-3-FG3",0.341,0.121,0.204,-7.78,0.071,0.056,0.671,-0.426,0.762
"SL18-CC-5-FG3",0.578,0.113,-1.243,-1.141,-0.184,-0.298,0.154,0.18,0.096
"SL18-CC-12-FG3",0.385,0.112,0.068,71.56,-0.907,-0.135,0.139,-0.863,0.572
"SL18-CC-10-FG4",0.324,0.104,0.244,3.638,0.316,0.057,-0.727,-0.059,-0.769
"SL18-SF-17-FG2",0.467,0.102,-0.222,-17.61,-0.249,0.011,0.46,0.105,0.793
"SA18-CB-2-FG3",0.388,0.101,-0.032,-11.689,-0.337,-0.144,-0.005,-0.38,0.116
"SA18-CB-4-FG6",0.24,0.099,-0.338,-23.707,0.377,0.059,-0.442,-1.22,-0.668
"SL18-CC-3-FG1",0.258,0.095,0.29,-4.726,-0.315,-0.038,0.378,0.303,-0.039
"SA18-CB-7-FG1",0.138,0.085,0.654,22.631,0.43,0.149,-0.387,0.047,-0.25
"SL18-CC-5-FG1",0.236,0.064,-0.626,-6.055,0.116,-0.283,0.507,-0.014,0.139
"SL18-OI-15-FG2",0.19,0.056,0.552,8.814,-0.397,-0.3,-0.166,0.847,-0.709
"SL18-SF-13-FG1",0.219,0.052,-0.272,2.369,-0.475,-0.053,-0.387,0.373,-0.439
"SL18-CC-8-FG2",0.082,0.027,-0.558,14.753,0.03,-0.117,0.542,-0.14,0.931
"SL18-OI-17-FG1",0.037,0.018,-0.016,-6.554,0.006,-0.067,0.141,-0.056,0.274
"SL18-CC-1-FG1",0.117,0.012,0.301,85.421,0.393,-0.14,0.861,0.111,0.536
"SA18-CB-5-FG6",0.072,0.008,0.283,-71.057,-0.328,0.018,0.292,0.738,0.314
"SL18-OI-9-FG4",-0.061,0.003,0.799,-2.022,0.175,-0.349,0.379,0.124,0.345
"SL18-OI-15-FG1",-0.006,0.002,0.197,-4.119,-0.255,0.019,-0.383,0.39,-0.068
"SL18-LD-9-FG4",0.092,0.001,-0.438,47.622,0.012,0.24,-0.494,-0.399,-0.265
"SL18-CC-6-FG2",0.15,-0.002,-0.863,1.094,-0.648,-0.272,0.257,-0.572,0.183
"SA18-CB-5-FG4",0.017,-0.003,0.332,-63.705,-0.739,0.117,0.188,0.25,-0.524
"SL18-CC-9-FG3",-0.052,-0.011,-0.112,3.668,0.136,0.104,-0.216,0.329,0.244
"SL18-CC-1-FG3",-0.095,-0.025,0.188,15.754,0.212,-0.045,-0.191,-0.371,-0.288
"SL18-CC-1-FG2",-0.051,-0.027,0.145,14.551,0.301,-0.03,-0.523,-0.002,-0.316
"SL18-NL-3-FG3",0.058,-0.032,-0.75,-23.289,-0.346,-0.062,0.078,-0.452,0.414
"SL18-LD-2-FG2",-0.152,-0.037,-0.196,-44.237,0.392,0.041,0.143,0.212,-0.261
"SL18-NC-15-FG3",-0.112,-0.039,-0.217,62.671,-0.628,0.127,0.545,-0.095,1.14
"SL18-NL-5-FG1",-0.2,-0.05,0.28,-11.248,0.372,-0.219,0.007,-0.466,-0.687
"SL18-OD-5-FG3",-0.177,-0.051,-0.013,-1.842,0.338,0.184,-0.401,0.395,-0.449
"SL18-CC-6-FG1",-0.158,-0.052,-0.457,-14.188,-0.95,-0.27,0.169,0.217,0.557
"SL18-OD-5-FG1",-0.248,-0.071,-0.069,1.856,0.466,-0.031,-0.677,0.539,-0.45
"SL18-NC-9-FG2",-0.198,-0.076,0.714,-10.453,-0.495,-0.254,0.247,0.54,0.072
"SL18-CC-6-FG3",-0.137,-0.081,-0.242,-50.185,-0.288,-0.167,0.022,-0.243,0.226
"SL18-NC-11-FG1",-0.191,-0.085,-0.127,-15.246,-0.275,-0.183,0.401,-0.401,0.325
"SL18-LL-9-FG2",-0.336,-0.085,-0.481,23.687,-0.08,0.297,0.442,0.662,0.952
"SL18-OI-16-FG2",-0.279,-0.086,0.424,-14.536,0.191,0.078,-0.297,-0.572,-0.168
"SL18-NC-1-FG1",-0.286,-0.092,-0.21,-14.836,0.196,0.199,-0.994,-0.714,-0.694
"SL18-NL-7-FG4",-0.366,-0.095,0.195,-13.995,0.48,0.022,-0.475,-0.598,-0.676
"SL18-LD-13-FG2",-0.357,-0.098,0.131,-10.079,0.342,0.149,0.139,-0.053,-0.062
"SL18-OI-5-FG5",-0.431,-0.102,0.792,-19.957,-0.426,-0.093,-0.7,-0.046,-0.62
"SL18-NC-8-FG1",-0.31,-0.102,0.767,-47.794,0.089,0.016,-0.128,0.157,-0.225
"SL18-NC-12-FG2",-0.208,-0.106,-0.11,-10.395,-0.273,0.149,-0.23,0.516,-0.257
"SL18-LL-9-FG6",-0.407,-0.109,-0.497,54.328,0.291,0.392,-0.716,0.727,-0.665
"SL18-JS-5-FG2",-0.327,-0.124,-0.733,-51.581,-0.019,0.12,0.234,0.076,0.326
"SL18-JS-19-FG2",-0.36,-0.137,0.092,-90.162,0.206,0.352,-0.737,0.35,-1.069
"SL18-NC-5-FG3",-0.481,-0.138,-0.506,-16.528,0.549,0.22,-0.575,-0.051,-0.98
"SL18-NL-3-FG1",-0.301,-0.148,-1.157,-25.171,0.042,-0.111,0.052,0.175,0.213
"SL18-JS-19-FG3",-0.435,-0.149,-0.116,-97.948,0.094,0.136,0.114,0.151,-0.121
"SL18-JS-16-FG1",-0.452,-0.151,0.213,-43.573,0.279,-0.25,-0.601,-0.334,-0.541
"SL18-JS-16-FG3",-0.366,-0.156,-0.254,-53.196,-0.331,-0.268,0.389,0.017,0.802
"SL18-CC-8-FG1",-0.45,-0.159,-0.446,-27.984,-0.17,-0.305,0.423,0.392,0.411
"SL18-NL-2-FG3",-0.511,-0.162,-0.072,-57.899,0.202,-0.04,-0.653,0.341,-0.38
"SL18-NC-5-FG2",-0.652,-0.171,-0.601,-43.765,0.248,0.552,-0.457,-0.53,-1.007
"SL18-JS-5-FG1",-0.472,-0.177,-1.262,-70.942,-0.022,0.241,-1.05,-0.388,-1.055
"SL18-JS-9-FG3",-0.524,-0.181,-0.461,-53.615,-0.004,0.081,-0.186,0.075,-0.382
"SL18-NC-10-FG3",-0.466,-0.184,-2.61,-20.162,0.145,-0.167,0.327,0.526,0.166
"SL18-NC-10-FG1",-0.618,-0.202,-1.152,-35.774,0.167,-0.063,0.387,0.231,0.133
