"","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-OI-16-MG1",-0.319,-0.132,0.368,-22.859,0.435,0.242,0.453,-0.315,0.177
"SL18-NC-10-MG3",-0.312,-0.144,-1.618,-25.955,0.012,-0.176,-0.039,0.699,-0.179
"SL18-JS-19-MG2",-0.37,-0.152,-0.017,-84.917,-0.002,0.016,0.393,0.676,0.577
"SL18-JS-11-MG2",-0.543,-0.156,-0.545,-58.48,-0.046,0.056,0.587,0.767,0.462
"SL18-NL-2-MG1",-0.439,-0.156,-0.067,-56.594,-0.245,-0.079,0.11,0.325,0.196
"SL18-NC-5-MG1",-0.631,-0.158,-0.464,-37.314,0.243,0.355,-2.017,-0.811,-2.011
"SL18-JS-9-MG1",-0.523,-0.162,-0.349,-55.679,0.146,0.07,0.018,0.022,-0.453
"SL18-NC-10-MG2",-0.357,-0.163,-1.219,-1.153,0.276,-0.321,-0.215,0.533,-0.727
"SL18-NC-8-MG2",-0.533,-0.164,0.293,-50.504,-0.297,-0.161,0.293,-0.166,0.534
"SL18-JS-9-MG3",-0.519,-0.17,-0.237,-45.758,0.133,0.158,-0.334,0.282,-0.418
"SL18-NC-5-MG3",-0.639,-0.173,-0.673,-41.363,0.318,0.546,-1.883,0.191,-1.174
"SL18-JS-9-MG2",-0.464,-0.177,-0.31,-40.896,-0.025,0.175,-0.344,-0.174,-1.362
